case,i,anode,dest,x,y,ndest,maxdif
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    1,    1,    1,    1,200.00, 64.45, 45.01, 19.43
    4,    1,    1,    1,200.00, 48.42, 44.50,  3.91
    5,    1,    1,    1,200.00, 48.42, 41.36,  7.06
    6,    1,    1,    1,200.00, 48.42, 39.83,  8.58
    8,    1,    1,    1,200.00, 44.22, 41.68,  2.54
   10,    1,    1,    1,200.00, 57.35, 37.91, 19.43
   13,    1,    1,    1,200.00, 41.32, 37.40,  3.91
   14,    1,    1,    1,200.00, 41.32, 34.26,  7.06
   16,    1,    1,    1,200.00, 55.17, 35.73, 19.43
   18,    1,    1,    1,200.00, 39.14, 35.22,  3.91
   19,    1,    1,    1,200.00, 64.45, 45.01, 19.43
   19,    3,    1,    1,200.00, 44.18, 42.38,  1.80
   19,    3,    1,    1,178.79, 43.73, 42.46,  1.27
   19,    3,    1,    1,173.86, 43.63, 42.49,  1.14
   19,    3,    1,    1,169.47, 43.55, 42.51,  1.03
   19,    3,    1,    1,165.45, 43.47, 42.54,  0.93
   19,    3,    1,    1,161.85, 43.41, 42.56,  0.84
   19,    3,    1,    1,158.57, 43.35, 42.58,  0.76
   19,    3,    1,    1,155.63, 43.30, 42.61,  0.69
   19,    3,    1,    1,152.94, 43.25, 42.63,  0.62
   19,    3,    1,    1,150.54, 43.21, 42.64,  0.56
   19,    3,    1,    1,148.35, 43.17, 42.66,  0.51
   19,    3,    1,    1,146.38, 43.14, 42.68,  0.46
   19,    3,    1,    1,144.59, 43.11, 42.69,  0.42
   19,    3,    1,    1,142.98, 43.09, 42.71,  0.38
   19,    3,    1,    1,141.51, 43.06, 42.72,  0.34
   19,    3,    1,    1,140.20, 43.04, 42.73,  0.31
   19,    3,    1,    1,139.00, 43.02, 42.74,  0.28
   19,    3,    1,    1,137.92, 43.01, 42.75,  0.25
   19,    3,    1,    1,136.94, 42.99, 42.76,  0.23
   19,    3,    1,    1,136.06, 42.98, 42.77,  0.21
   19,    3,    1,    1,135.26, 42.97, 42.78,  0.19
   19,    3,    1,    1,134.54, 42.95, 42.79,  0.17
   19,    3,    1,    1,133.88, 42.94, 42.79,  0.15
   19,    3,    1,    1,133.29, 42.94, 42.80,  0.14
   19,    3,    1,    1,132.76, 42.93, 42.80,  0.13
   19,    3,    1,    1,132.27, 42.92, 42.81,  0.11
   19,    3,    1,    1,131.83, 42.91, 42.81,  0.10
   19,    3,    1,    1,131.44, 42.91, 42.82,  0.09
   19,    3,    1,    1,131.08, 42.90, 42.82,  0.08
   19,    3,    1,    1,130.76, 42.90, 42.82,  0.08
   19,    3,    1,    1,130.46, 42.89, 42.83,  0.07
   19,    3,    1,    1,130.20, 42.89, 42.83,  0.06
   19,    3,    1,    1,129.95, 42.89, 42.83,  0.06
   19,    3,    1,    1,129.74, 42.88, 42.83,  0.05
   19,    3,    1,    1,129.54, 42.88, 42.83,  0.05
   19,    3,    1,    1,129.36, 42.88, 42.84,  0.04
   19,    3,    1,    1,129.20, 42.88, 42.84,  0.04
   19,    3,    1,    1,129.06, 42.87, 42.84,  0.03
   19,    3,    1,    1,128.92, 42.87, 42.84,  0.03
   19,    3,    1,    1,128.80, 42.87, 42.84,  0.03
   19,    3,    1,    1,128.70, 42.87, 42.84,  0.03
   19,    3,    1,    1,128.60, 42.87, 42.84,  0.02
   19,    3,    1,    1,128.51, 42.87, 42.85,  0.02
   19,    3,    1,    1,128.43, 42.86, 42.85,  0.02
   19,    3,    1,    1,128.36, 42.86, 42.85,  0.02
   19,    3,    1,    1,128.29, 42.86, 42.85,  0.02
   19,    3,    1,    1,128.23, 42.86, 42.85,  0.01
   19,    3,    1,    1,128.18, 42.86, 42.85,  0.01
   19,    3,    1,    1,128.13, 42.86, 42.85,  0.01
   19,    3,    1,    1,128.09, 42.86, 42.85,  0.01
   19,    3,    1,    1,128.05, 42.86, 42.85,  0.01
   19,    3,    1,    1,128.01, 42.86, 42.85,  0.01
   22,    1,    1,    1,200.00, 48.42, 44.50,  3.91
   22,    3,    1,    1,200.00, 44.18, 42.29,  1.89
   22,    3,    1,    1,175.55, 43.66, 42.35,  1.31
   22,    3,    1,    1,169.95, 43.56, 42.38,  1.18
   22,    3,    1,    1,164.97, 43.46, 42.40,  1.06
   22,    3,    1,    1,160.44, 43.38, 42.42,  0.96
   22,    3,    1,    1,156.39, 43.31, 42.45,  0.86
   22,    3,    1,    1,152.71, 43.25, 42.47,  0.78
   22,    3,    1,    1,149.41, 43.19, 42.49,  0.70
   22,    3,    1,    1,146.42, 43.14, 42.51,  0.63
   22,    3,    1,    1,143.74, 43.10, 42.53,  0.57
   22,    3,    1,    1,141.30, 43.06, 42.54,  0.52
   22,    3,    1,    1,139.12, 43.02, 42.56,  0.47
   22,    3,    1,    1,137.13, 42.99, 42.57,  0.42
   22,    3,    1,    1,135.36, 42.97, 42.59,  0.38
   22,    3,    1,    1,133.74, 42.94, 42.60,  0.34
   22,    3,    1,    1,132.29, 42.92, 42.61,  0.31
   22,    3,    1,    1,130.97, 42.90, 42.62,  0.28
   22,    3,    1,    1,129.79, 42.88, 42.63,  0.25
   22,    3,    1,    1,128.71, 42.87, 42.64,  0.23
   22,    3,    1,    1,127.75, 42.86, 42.65,  0.21
   22,    3,    1,    1,126.87, 42.84, 42.66,  0.19
   22,    3,    1,    1,126.08, 42.83, 42.66,  0.17
   22,    3,    1,    1,125.36, 42.82, 42.67,  0.15
   22,    3,    1,    1,124.72, 42.81, 42.68,  0.14
   22,    3,    1,    1,124.14, 42.80, 42.68,  0.12
   22,    3,    1,    1,123.61, 42.80, 42.68,  0.11
   22,    3,    1,    1,123.13, 42.79, 42.69,  0.10
   22,    3,    1,    1,122.70, 42.78, 42.69,  0.09
   22,    3,    1,    1,122.31, 42.78, 42.70,  0.08
   22,    3,    1,    1,121.96, 42.77, 42.70,  0.07
   22,    3,    1,    1,121.64, 42.77, 42.70,  0.07
   22,    3,    1,    1,121.36, 42.77, 42.71,  0.06
   22,    3,    1,    1,121.10, 42.76, 42.71,  0.06
   22,    3,    1,    1,120.86, 42.76, 42.71,  0.05
   22,    3,    1,    1,120.65, 42.76, 42.71,  0.05
   22,    3,    1,    1,120.46, 42.75, 42.71,  0.04
   22,    3,    1,    1,120.28, 42.75, 42.71,  0.04
   22,    3,    1,    1,120.13, 42.75, 42.72,  0.03
   22,    3,    1,    1,119.99, 42.75, 42.72,  0.03
   22,    3,    1,    1,119.86, 42.75, 42.72,  0.03
   22,    3,    1,    1,119.74, 42.74, 42.72,  0.02
   22,    3,    1,    1,119.64, 42.74, 42.72,  0.02
   22,    3,    1,    1,119.54, 42.74, 42.72,  0.02
   22,    3,    1,    1,119.46, 42.74, 42.72,  0.02
   22,    3,    1,    1,119.38, 42.74, 42.72,  0.02
   22,    3,    1,    1,119.31, 42.74, 42.72,  0.01
   22,    3,    1,    1,119.25, 42.74, 42.72,  0.01
   22,    3,    1,    1,119.19, 42.74, 42.73,  0.01
   22,    3,    1,    1,119.14, 42.74, 42.73,  0.01
   22,    3,    1,    1,119.09, 42.74, 42.73,  0.01
   23,    1,    1,    1,200.00, 48.42, 41.36,  7.06
   24,    3,    1,    1,200.00, 44.18, 41.60,  2.58
   24,    2,    1,    1,  9.74, 42.33, 41.72,  0.61
   24,    3,    1,    1,165.93, 43.48, 41.72,  1.76
   24,    2,    1,    1, 11.09, 42.36, 41.77,  0.60
   24,    3,    1,    1,158.69, 43.35, 41.77,  1.58
   24,    2,    1,    1, 11.78, 42.40, 41.81,  0.59
   24,    3,    1,    1,152.37, 43.24, 41.81,  1.43
   24,    2,    1,    1, 12.42, 42.43, 41.85,  0.58
   24,    3,    1,    1,146.70, 43.15, 41.85,  1.29
   24,    2,    1,    1, 12.52, 42.46, 41.89,  0.57
   24,    3,    1,    1,141.82, 43.07, 41.89,  1.18
   24,    2,    1,    1, 12.63, 42.49, 41.93,  0.56
   24,    3,    1,    1,137.37, 43.00, 41.93,  1.07
   24,    2,    1,    1, 12.28, 42.51, 41.97,  0.55
   24,    3,    1,    1,133.60, 42.94, 41.97,  0.97
   24,    2,    1,    1, 11.98, 42.54, 42.00,  0.54
   24,    3,    1,    1,130.10, 42.89, 42.00,  0.89
   24,    2,    1,    1, 11.32, 42.56, 42.03,  0.53
   24,    3,    1,    1,127.20, 42.85, 42.03,  0.81
   24,    2,    1,    1,  9.50, 42.63, 42.13,  0.50
   24,    3,    1,    1,118.87, 42.73, 42.13,  0.61
   24,    2,    1,    1,  8.52, 42.64, 42.15,  0.49
   24,    3,    1,    1,117.09, 42.71, 42.15,  0.56
   24,    2,    1,    1,  7.38, 42.65, 42.17,  0.48
   24,    3,    1,    1,115.73, 42.69, 42.17,  0.52
   24,    2,    1,    1,  4.03, 42.69, 42.24,  0.46
   24,    2,    1,    1,  2.76, 42.70, 42.25,  0.45
   24,    2,    1,    1,  1.48, 42.70, 42.26,  0.44
   24,    3,    1,    1,106.72, 42.58, 42.31,  0.27
   24,    3,    1,    1,105.72, 42.57, 42.32,  0.24
   24,    3,    1,    1,104.82, 42.56, 42.33,  0.22
   24,    3,    1,    1,103.99, 42.55, 42.35,  0.20
   24,    3,    1,    1,103.24, 42.54, 42.36,  0.18
   24,    3,    1,    1,102.55, 42.53, 42.36,  0.17
   24,    3,    1,    1,101.94, 42.52, 42.37,  0.15
   24,    3,    1,    1,101.37, 42.52, 42.38,  0.14
   24,    3,    1,    1,100.86, 42.51, 42.39,  0.13
   24,    3,    1,    1,100.38, 42.51, 42.39,  0.11
   24,    3,    1,    1, 99.96, 42.50, 42.40,  0.10
   24,    3,    1,    1, 99.57, 42.50, 42.40,  0.10
   24,    3,    1,    1, 99.22, 42.49, 42.41,  0.09
   24,    3,    1,    1, 98.90, 42.49, 42.41,  0.08
   24,    3,    1,    1, 98.61, 42.49, 42.42,  0.07
   24,    3,    1,    1, 98.34, 42.48, 42.42,  0.07
   24,    3,    1,    1, 98.10, 42.48, 42.42,  0.06
   24,    3,    1,    1, 97.88, 42.48, 42.43,  0.05
   24,    3,    1,    1, 97.68, 42.48, 42.43,  0.05
   24,    3,    1,    1, 97.49, 42.47, 42.43,  0.04
   24,    3,    1,    1, 97.33, 42.47, 42.43,  0.04
   24,    3,    1,    1, 97.18, 42.47, 42.43,  0.04
   24,    3,    1,    1, 97.04, 42.47, 42.44,  0.03
   24,    3,    1,    1, 96.91, 42.47, 42.44,  0.03
   24,    3,    1,    1, 96.80, 42.47, 42.44,  0.03
   24,    3,    1,    1, 96.70, 42.47, 42.44,  0.03
   24,    3,    1,    1, 96.60, 42.47, 42.44,  0.02
   24,    3,    1,    1, 96.52, 42.46, 42.44,  0.02
   24,    3,    1,    1, 96.44, 42.46, 42.44,  0.02
   24,    3,    1,    1, 96.37, 42.46, 42.45,  0.02
   24,    3,    1,    1, 96.30, 42.46, 42.45,  0.02
   24,    3,    1,    1, 96.24, 42.46, 42.45,  0.01
   24,    3,    1,    1, 96.19, 42.46, 42.45,  0.01
   24,    3,    1,    1, 96.14, 42.46, 42.45,  0.01
   24,    3,    1,    1, 96.10, 42.46, 42.45,  0.01
   24,    3,    1,    1, 96.05, 42.46, 42.45,  0.01
   24,    3,    1,    1, 96.02, 42.46, 42.45,  0.01
   25,    1,    1,    1,200.00, 57.35, 37.91, 19.43
   27,    1,    1,    1,200.00, 41.32, 37.40,  3.91
   28,    1,    1,    1,200.00, 55.17, 35.73, 19.43
   29,    1,    1,    1,200.00, 64.45, 45.01, 19.43
   30,    2,    1,    1,200.00, 40.92, 37.46,  3.46
   31,    1,    1,    1,200.00, 48.42, 44.50,  3.91
   32,    1,    1,    1,200.00, 57.35, 37.91, 19.43
   32,    3,    1,    1, 45.14, 37.51, 37.46,  0.05
   32,    3,    1,    1, 44.20, 37.51, 37.47,  0.04
   32,    3,    1,    1, 43.95, 37.51, 37.47,  0.04
