method,case,dest,node,fout,lout,label
dp   ,    0, 1,  1,  1,  3, 39.73
dp   ,    0, 1,  2,  4,  5, 47.27
dp   ,    0, 1,  3,  6,  6, 15.11
dp   ,    1, 1,  1,  1,  3, 45.01
dp   ,    1, 1,  2,  4,  5, 36.34
dp   ,    1, 1,  3,  6,  6, 19.06
dp   ,    2, 1,  1,  1,  3, 40.92
dp   ,    2, 1,  2,  4,  5, 36.34
dp   ,    2, 1,  3,  6,  6, 14.96
dp   ,    3, 1,  1,  1,  3, 39.28
dp   ,    3, 1,  2,  4,  5, 36.34
dp   ,    3, 1,  3,  6,  6, 13.32
dp   ,    4, 1,  1,  1,  3, 44.50
dp   ,    4, 1,  2,  4,  5, 26.65
dp   ,    4, 1,  3,  6,  6, 18.54
dp   ,    5, 1,  1,  1,  3, 41.36
dp   ,    5, 1,  2,  4,  5, 26.65
dp   ,    5, 1,  3,  6,  6, 15.40
dp   ,    6, 1,  1,  1,  3, 39.83
dp   ,    6, 1,  2,  4,  5, 26.65
dp   ,    6, 1,  3,  6,  6, 13.87
dp   ,    7, 1,  1,  1,  3, 44.22
dp   ,    7, 1,  2,  4,  5, 24.56
dp   ,    8, 1,  1,  1,  3, 41.68
dp   ,    8, 1,  2,  4,  5, 23.63
dp   ,    8, 1,  3,  6,  6, 15.72
dp   ,    9, 1,  1,  1,  3, 42.34
dp   ,    9, 1,  2,  4,  5, 22.68
dp   ,   10, 1,  1,  1,  3, 37.91
dp   ,   10, 1,  2,  4,  5, 36.34
dp   ,   10, 1,  3,  6,  6, 19.06
dp   ,   11, 1,  1,  1,  3, 33.82
dp   ,   11, 1,  2,  4,  5, 36.34
dp   ,   11, 1,  3,  6,  6, 14.96
dp   ,   12, 1,  1,  1,  3, 32.18
dp   ,   12, 1,  2,  4,  5, 36.34
dp   ,   12, 1,  3,  6,  6, 13.32
dp   ,   13, 1,  1,  1,  3, 37.40
dp   ,   13, 1,  2,  4,  5, 26.65
dp   ,   13, 1,  3,  6,  6, 18.54
dp   ,   14, 1,  1,  1,  3, 34.26
dp   ,   14, 1,  2,  4,  5, 26.65
dp   ,   14, 1,  3,  6,  6, 15.40
dp   ,   15, 1,  1,  1,  3, 37.12
dp   ,   15, 1,  2,  4,  5, 24.56
dp   ,   16, 1,  1,  1,  3, 35.73
dp   ,   16, 1,  2,  4,  5, 36.34
dp   ,   16, 1,  3,  6,  6, 19.06
dp   ,   17, 1,  1,  1,  3, 31.64
dp   ,   17, 1,  2,  4,  5, 36.34
dp   ,   17, 1,  3,  6,  6, 14.96
dp   ,   18, 1,  1,  1,  3, 35.22
dp   ,   18, 1,  2,  4,  5, 26.65
dp   ,   18, 1,  3,  6,  6, 18.54
dp   ,   19, 1,  1,  1,  3, 42.85
dp   ,   19, 1,  2,  4,  5, 36.34
dp   ,   19, 1,  3,  6,  6, 18.36
dp   ,   20, 1,  1,  1,  3, 40.92
dp   ,   20, 1,  2,  4,  5, 36.34
dp   ,   20, 1,  3,  6,  6, 14.96
dp   ,   21, 1,  1,  1,  3, 39.28
dp   ,   21, 1,  2,  4,  5, 36.34
dp   ,   21, 1,  3,  6,  6, 13.32
dp   ,   22, 1,  1,  1,  3, 42.73
dp   ,   22, 1,  2,  4,  5, 26.65
dp   ,   22, 1,  3,  6,  6, 18.17
dp   ,   23, 1,  1,  1,  3, 41.36
dp   ,   23, 1,  2,  4,  5, 26.65
dp   ,   23, 1,  3,  6,  6, 15.40
dp   ,   24, 1,  1,  1,  3, 42.45
dp   ,   24, 1,  2,  4,  5, 24.02
dp   ,   25, 1,  1,  1,  3, 37.91
dp   ,   25, 1,  2,  4,  5, 36.34
dp   ,   25, 1,  3,  6,  6, 19.06
dp   ,   26, 1,  1,  1,  3, 33.82
dp   ,   26, 1,  2,  4,  5, 36.34
dp   ,   26, 1,  3,  6,  6, 14.96
dp   ,   27, 1,  1,  1,  3, 37.40
dp   ,   27, 1,  2,  4,  5, 26.65
dp   ,   27, 1,  3,  6,  6, 18.54
dp   ,   28, 1,  1,  1,  3, 35.73
dp   ,   28, 1,  2,  4,  5, 36.34
dp   ,   28, 1,  3,  6,  6, 19.06
dp   ,   29, 1,  1,  1,  3, 38.45
dp   ,   29, 1,  2,  4,  5, 36.34
dp   ,   30, 1,  1,  1,  3, 38.45
dp   ,   30, 1,  2,  4,  5, 36.34
dp   ,   31, 1,  1,  1,  3, 38.45
dp   ,   31, 1,  2,  4,  5, 26.65
dp   ,   32, 1,  1,  1,  3, 37.50
dp   ,   32, 1,  2,  4,  5, 36.34
dp   ,   32, 1,  3,  6,  6, 18.79
dp   ,   33, 1,  1,  1,  3, 35.78
dp   ,   33, 1,  2,  4,  5, 36.34
