case,i,anode,dest,x,y,ndest,maxdif
    0,    2,    1,    1,200.00, 61.75, 38.50, 23.25
    0,    5,    2,    1,150.00, 50.40, 49.54,  0.86
    0,    5,    2,    1,143.38, 50.34, 49.54,  0.80
    0,    5,    2,    1,137.49, 50.30, 49.54,  0.75
    0,    5,    2,    1,119.88, 50.15, 49.54,  0.61
    0,    5,    2,    1,115.20, 50.11, 49.54,  0.57
    0,    5,    2,    1,111.03, 50.08, 49.54,  0.53
    0,    5,    2,    1, 98.58, 49.97, 49.54,  0.43
    0,    5,    2,    1, 95.27, 49.94, 49.54,  0.40
    0,    5,    2,    1, 92.32, 49.92, 49.54,  0.38
    0,    5,    2,    1, 83.52, 49.85, 49.54,  0.30
    0,    5,    2,    1, 81.18, 49.83, 49.54,  0.28
    0,    5,    2,    1, 79.09, 49.81, 49.54,  0.27
    0,    5,    2,    1, 72.87, 49.76, 49.54,  0.21
    0,    5,    2,    1, 71.21, 49.74, 49.54,  0.20
    0,    5,    2,    1, 69.74, 49.73, 49.54,  0.19
    0,    5,    2,    1, 65.33, 49.69, 49.54,  0.15
    0,    5,    2,    1, 64.16, 49.68, 49.54,  0.14
    0,    5,    2,    1, 63.12, 49.68, 49.54,  0.13
    0,    5,    2,    1, 60.01, 49.65, 49.54,  0.11
    0,    5,    2,    1, 59.18, 49.64, 49.54,  0.10
    0,    5,    2,    1, 58.44, 49.64, 49.54,  0.09
    0,    5,    2,    1, 56.24, 49.62, 49.54,  0.08
    0,    5,    2,    1, 55.65, 49.61, 49.54,  0.07
    0,    5,    2,    1, 55.13, 49.61, 49.54,  0.07
    0,    5,    2,    1, 53.58, 49.60, 49.54,  0.05
    0,    5,    2,    1, 53.16, 49.59, 49.54,  0.05
    0,    5,    2,    1, 52.79, 49.59, 49.54,  0.05
    0,    5,    2,    1, 51.69, 49.58, 49.54,  0.04
    0,    5,    2,    1, 51.40, 49.58, 49.54,  0.04
    0,    5,    2,    1, 51.14, 49.58, 49.54,  0.03
    0,    5,    2,    1, 50.36, 49.57, 49.54,  0.03
    0,    5,    2,    1, 50.15, 49.57, 49.54,  0.03
    0,    5,    2,    1, 49.97, 49.57, 49.54,  0.02
    0,    5,    2,    1, 49.42, 49.56, 49.54,  0.02
    0,    5,    2,    1, 49.27, 49.56, 49.54,  0.02
    0,    5,    2,    1, 49.14, 49.56, 49.54,  0.02
    0,    5,    2,    1, 48.75, 49.56, 49.54,  0.01
    0,    5,    2,    1, 48.65, 49.56, 49.54,  0.01
    0,    5,    2,    1, 48.56, 49.55, 49.54,  0.01
    0,    5,    2,    1, 48.28, 49.55, 49.54,  0.01
    1,    2,    1,    1,200.00, 61.59, 38.50, 23.09
    1,    5,    2,    1,150.00, 50.40, 49.53,  0.87
    1,    5,    2,    1,143.25, 50.34, 49.53,  0.81
    1,    5,    2,    1,137.24, 50.29, 49.53,  0.76
    1,    5,    2,    1,119.29, 50.14, 49.53,  0.61
    1,    5,    2,    1,114.53, 50.10, 49.53,  0.58
    1,    5,    2,    1,110.28, 50.07, 49.53,  0.54
    1,    5,    2,    1, 97.62, 49.96, 49.53,  0.43
    1,    5,    2,    1, 94.26, 49.93, 49.53,  0.41
    1,    5,    2,    1, 91.27, 49.91, 49.53,  0.38
    1,    5,    2,    1, 82.33, 49.83, 49.53,  0.31
    1,    5,    2,    1, 79.96, 49.81, 49.53,  0.29
    1,    5,    2,    1, 77.85, 49.80, 49.53,  0.27
    1,    5,    2,    1, 71.55, 49.74, 49.53,  0.22
    1,    5,    2,    1, 69.87, 49.73, 49.53,  0.20
    1,    5,    2,    1, 68.38, 49.72, 49.53,  0.19
    1,    5,    2,    1, 63.93, 49.68, 49.53,  0.15
    1,    5,    2,    1, 62.75, 49.67, 49.53,  0.14
    1,    5,    2,    1, 61.70, 49.66, 49.53,  0.13
    1,    5,    2,    1, 58.56, 49.64, 49.53,  0.11
    1,    5,    2,    1, 57.73, 49.63, 49.53,  0.10
    1,    5,    2,    1, 56.99, 49.62, 49.53,  0.09
    1,    5,    2,    1, 54.78, 49.60, 49.53,  0.08
    1,    5,    2,    1, 54.19, 49.60, 49.53,  0.07
    1,    5,    2,    1, 53.67, 49.60, 49.53,  0.07
    1,    5,    2,    1, 52.10, 49.58, 49.53,  0.05
    1,    5,    2,    1, 51.69, 49.58, 49.53,  0.05
    1,    5,    2,    1, 51.32, 49.58, 49.53,  0.05
    1,    5,    2,    1, 50.22, 49.57, 49.53,  0.04
    1,    5,    2,    1, 49.92, 49.56, 49.53,  0.04
    1,    5,    2,    1, 49.66, 49.56, 49.53,  0.03
    1,    5,    2,    1, 48.89, 49.56, 49.53,  0.03
    1,    5,    2,    1, 48.68, 49.55, 49.53,  0.02
    1,    5,    2,    1, 48.50, 49.55, 49.53,  0.02
    1,    5,    2,    1, 47.95, 49.55, 49.53,  0.02
    1,    5,    2,    1, 47.80, 49.55, 49.53,  0.02
    1,    5,    2,    1, 47.67, 49.55, 49.53,  0.02
    1,    5,    2,    1, 47.28, 49.54, 49.53,  0.01
    1,    5,    2,    1, 47.18, 49.54, 49.53,  0.01
    1,    5,    2,    1, 47.09, 49.54, 49.53,  0.01
    1,    5,    2,    1, 46.82, 49.54, 49.53,  0.01
    2,    2,    1,    1,200.00, 61.42, 38.50, 22.92
    2,    5,    2,    1,150.00, 50.40, 49.51,  0.89
    2,    5,    2,    1,143.12, 50.34, 49.51,  0.83
    2,    5,    2,    1,136.99, 50.29, 49.51,  0.78
    2,    5,    2,    1,118.70, 50.14, 49.51,  0.62
