case,origin,dest,demand,y,flow
    0, 1,  4,200.0000, 39.6111,200.0000
    0, 2,  4,150.0000, 49.5429,101.7194
    1, 1,  4,200.0000, 39.6111,200.0000
    1, 2,  4,150.0000, 49.5286,103.1828
    2, 1,  4,200.0000, 39.6111,200.0000
    2, 2,  4,150.0000, 49.5145,104.6319
    3, 1,  4,200.0000, 39.6111,200.0000
    3, 2,  4,150.0000, 49.5004,106.0671
    4, 1,  4,200.0000, 39.6111,200.0000
    4, 2,  4,150.0000, 49.4864,107.4884
    5, 1,  4,200.0000, 39.6111,200.0000
    5, 2,  4,150.0000, 49.4725,108.8960
    6, 1,  4,200.0000, 39.6111,200.0000
    6, 2,  4,150.0000, 49.4586,110.2901
    7, 1,  4,200.0000, 39.6111,200.0000
    7, 2,  4,150.0000, 49.4448,111.6708
    8, 1,  4,200.0000, 39.6111,200.0000
    8, 2,  4,150.0000, 49.4311,113.0385
    9, 1,  4,200.0000, 39.6111,200.0000
    9, 2,  4,150.0000, 49.4174,114.3931
   10, 1,  4,200.0000, 39.6111,200.0000
   10, 2,  4,150.0000, 49.4038,115.7350
   11, 1,  4,200.0000, 39.6111,200.0000
   11, 2,  4,150.0000, 49.3903,117.0642
   12, 1,  4,200.0000, 39.6111,200.0000
   12, 2,  4,150.0000, 49.3768,118.3809
   13, 1,  4,200.0000, 39.6111,200.0000
   13, 2,  4,150.0000, 49.3634,119.4443
   14, 1,  4,200.0000, 39.6111,200.0000
   14, 2,  4,150.0000, 49.3501,120.7394
   15, 1,  4,200.0000, 39.6111,200.0000
   15, 2,  4,150.0000, 49.3368,122.0226
   16, 1,  4,200.0000, 39.6111,200.0000
   16, 2,  4,150.0000, 49.3236,123.2940
   17, 1,  4,200.0000, 39.6111,200.0000
   17, 2,  4,150.0000, 49.3105,124.5249
   18, 1,  4,200.0000, 39.6111,200.0000
   18, 2,  4,150.0000, 49.2974,125.7722
   19, 1,  4,200.0000, 39.6111,200.0000
   19, 2,  4,150.0000, 49.2844,127.0082
   20, 1,  4,200.0000, 39.6111,200.0000
   20, 2,  4,150.0000, 49.2714,128.2329
   21, 1,  4,200.0000, 39.6111,200.0000
   21, 2,  4,150.0000, 49.2585,129.4466
   22, 1,  4,200.0000, 39.6111,200.0000
   22, 2,  4,150.0000, 49.2457,130.6493
   23, 1,  4,200.0000, 39.6111,200.0000
   23, 2,  4,150.0000, 49.2329,131.8413
   24, 1,  4,200.0000, 39.6111,200.0000
   24, 2,  4,150.0000, 49.2202,132.8666
   25, 1,  4,200.0000, 39.6111,200.0000
   25, 2,  4,150.0000, 49.2076,134.0393
   26, 1,  4,200.0000, 39.6111,200.0000
   26, 2,  4,150.0000, 49.1950,135.2016
   27, 1,  4,200.0000, 39.6111,200.0000
   27, 2,  4,150.0000, 49.1824,136.3536
   28, 1,  4,200.0000, 39.6111,200.0000
   28, 2,  4,150.0000, 49.1700,137.4954
   29, 1,  4,200.0000, 39.6111,200.0000
   29, 2,  4,150.0000, 49.1575,138.6273
   30, 1,  4,200.0000, 39.6111,200.0000
   30, 2,  4,150.0000, 49.1452,139.7492
   31, 1,  4,200.0000, 39.6111,200.0000
   31, 2,  4,150.0000, 49.1329,140.8614
