method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   ,    0, 1,  1,      0.00,1000.00, 36.30,0.0000,0.0000,  1,  2
dp   ,    0, 1,  2,      0.00,  57.76, 42.60,0.0000,0.0000,  1,  3
dp   ,    0, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,    0, 1,  4,     48.20,  48.74, 33.58,0.6426,0.0000,  2,  3
dp   ,    0, 1,  5,     26.80,  48.75, 48.75,0.3574,0.0000,  2,  4
dp   ,    0, 1,  6,     48.20,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,    1, 1,  1,      0.00,1000.00, 36.15,0.0000,0.0000,  1,  2
dp   ,    1, 1,  2,      0.00,  57.62, 42.45,0.0000,0.0000,  1,  3
dp   ,    1, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,    1, 1,  4,     49.58,  48.73, 33.56,0.6611,0.0000,  2,  3
dp   ,    1, 1,  5,     25.42,  48.74, 48.74,0.3389,0.0000,  2,  4
dp   ,    1, 1,  6,     49.58,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,    2, 1,  1,      0.00,1000.00, 36.00,0.0000,0.0000,  1,  2
dp   ,    2, 1,  2,      0.00,  57.47, 42.30,0.0000,0.0000,  1,  3
dp   ,    2, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,    2, 1,  4,     50.96,  48.71, 33.55,0.6795,0.0000,  2,  3
dp   ,    2, 1,  5,     24.04,  48.72, 48.72,0.3205,0.0000,  2,  4
dp   ,    2, 1,  6,     50.96,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,    3, 1,  1,      0.00,1000.00, 35.86,0.0000,0.0000,  1,  2
dp   ,    3, 1,  2,      0.00,  57.32, 42.16,0.0000,0.0000,  1,  3
dp   ,    3, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,    3, 1,  4,     52.33,  48.70, 33.54,0.6977,0.0000,  2,  3
dp   ,    3, 1,  5,     22.67,  48.71, 48.71,0.3023,0.0000,  2,  4
dp   ,    3, 1,  6,     52.33,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,    4, 1,  1,      0.00,1000.00, 35.71,0.0000,0.0000,  1,  2
dp   ,    4, 1,  2,      0.00,  57.18, 42.01,0.0000,0.0000,  1,  3
dp   ,    4, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,    4, 1,  4,     53.68,  48.69, 33.52,0.7157,0.0000,  2,  3
dp   ,    4, 1,  5,     21.32,  48.70, 48.70,0.2843,0.0000,  2,  4
dp   ,    4, 1,  6,     53.68,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,    5, 1,  1,      0.00,1000.00, 35.57,0.0000,0.0000,  1,  2
dp   ,    5, 1,  2,      0.00,  57.03, 41.87,0.0000,0.0000,  1,  3
dp   ,    5, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,    5, 1,  4,     55.02,  48.68, 33.51,0.7336,0.0000,  2,  3
dp   ,    5, 1,  5,     19.98,  48.69, 48.69,0.2664,0.0000,  2,  4
dp   ,    5, 1,  6,     55.02,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,    6, 1,  1,      0.00,1000.00, 35.43,0.0000,0.0000,  1,  2
dp   ,    6, 1,  2,      0.00,  56.89, 41.73,0.0000,0.0000,  1,  3
dp   ,    6, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,    6, 1,  4,     56.34,  48.66, 33.50,0.7513,0.0000,  2,  3
dp   ,    6, 1,  5,     18.66,  48.67, 48.67,0.2487,0.0000,  2,  4
dp   ,    6, 1,  6,     56.34,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,    7, 1,  1,      0.00,1000.00, 35.29,0.0000,0.0000,  1,  2
dp   ,    7, 1,  2,      0.00,  56.75, 41.59,0.0000,0.0000,  1,  3
dp   ,    7, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
dp   ,    7, 1,  4,     57.66,  48.65, 33.49,0.7688,0.0000,  2,  3
dp   ,    7, 1,  5,     17.34,  48.66, 48.66,0.2312,0.0000,  2,  4
dp   ,    7, 1,  6,     57.66,  15.16, 15.16,1.0000,0.0000,  3,  4
dp   ,    8, 1,  1,      0.00,1000.00, 35.15,0.0000,0.0000,  1,  2
dp   ,    8, 1,  2,      0.00,  56.61, 41.45,0.0000,0.0000,  1,  3
dp   ,    8, 1,  3,    100.00,  39.06, 39.06,1.0000,0.0000,  1,  4
