method,case,dest,node,fout,lout,label
dp   ,    0, 1,  1,  1,  3, 39.06
dp   ,    0, 1,  2,  4,  5, 48.74
dp   ,    0, 1,  3,  6,  6, 15.16
dp   ,    1, 1,  1,  1,  3, 39.06
dp   ,    1, 1,  2,  4,  5, 48.73
dp   ,    1, 1,  3,  6,  6, 15.16
dp   ,    2, 1,  1,  1,  3, 39.06
dp   ,    2, 1,  2,  4,  5, 48.71
dp   ,    2, 1,  3,  6,  6, 15.16
dp   ,    3, 1,  1,  1,  3, 39.06
dp   ,    3, 1,  2,  4,  5, 48.70
dp   ,    3, 1,  3,  6,  6, 15.16
dp   ,    4, 1,  1,  1,  3, 39.06
dp   ,    4, 1,  2,  4,  5, 48.69
dp   ,    4, 1,  3,  6,  6, 15.16
dp   ,    5, 1,  1,  1,  3, 39.06
dp   ,    5, 1,  2,  4,  5, 48.68
dp   ,    5, 1,  3,  6,  6, 15.16
dp   ,    6, 1,  1,  1,  3, 39.06
dp   ,    6, 1,  2,  4,  5, 48.66
dp   ,    6, 1,  3,  6,  6, 15.16
dp   ,    7, 1,  1,  1,  3, 39.06
dp   ,    7, 1,  2,  4,  5, 48.65
dp   ,    7, 1,  3,  6,  6, 15.16
dp   ,    8, 1,  1,  1,  3, 39.06
dp   ,    8, 1,  2,  4,  5, 48.64
dp   ,    8, 1,  3,  6,  6, 15.16
dp   ,    9, 1,  1,  1,  3, 39.06
dp   ,    9, 1,  2,  4,  5, 48.63
dp   ,    9, 1,  3,  6,  6, 15.16
dp   ,   10, 1,  1,  1,  3, 39.06
dp   ,   10, 1,  2,  4,  5, 48.62
dp   ,   10, 1,  3,  6,  6, 15.16
dp   ,   11, 1,  1,  1,  3, 39.06
dp   ,   11, 1,  2,  4,  5, 48.60
dp   ,   11, 1,  3,  6,  6, 15.16
dp   ,   12, 1,  1,  1,  3, 39.06
dp   ,   12, 1,  2,  4,  5, 48.59
dp   ,   12, 1,  3,  6,  6, 15.16
dp   ,   13, 1,  1,  1,  3, 39.06
dp   ,   13, 1,  2,  4,  5, 48.58
dp   ,   13, 1,  3,  6,  6, 15.16
dp   ,   14, 1,  1,  1,  3, 39.06
dp   ,   14, 1,  2,  4,  5, 48.57
dp   ,   14, 1,  3,  6,  6, 15.16
dp   ,   15, 1,  1,  1,  3, 39.06
dp   ,   15, 1,  2,  4,  5, 48.56
dp   ,   15, 1,  3,  6,  6, 15.16
dp   ,   16, 1,  1,  1,  3, 39.06
dp   ,   16, 1,  2,  4,  5, 48.54
dp   ,   16, 1,  3,  6,  6, 15.16
dp   ,   17, 1,  1,  1,  3, 39.06
dp   ,   17, 1,  2,  4,  5, 48.53
dp   ,   17, 1,  3,  6,  6, 15.16
dp   ,   18, 1,  1,  1,  3, 39.06
dp   ,   18, 1,  2,  4,  5, 48.52
dp   ,   18, 1,  3,  6,  6, 15.16
dp   ,   19, 1,  1,  1,  3, 39.06
dp   ,   19, 1,  2,  4,  5, 48.51
dp   ,   19, 1,  3,  6,  6, 15.16
dp   ,   20, 1,  1,  1,  3, 39.06
dp   ,   20, 1,  2,  4,  5, 48.50
dp   ,   20, 1,  3,  6,  6, 15.16
dp   ,   21, 1,  1,  1,  3, 39.06
dp   ,   21, 1,  2,  4,  5, 48.49
dp   ,   21, 1,  3,  6,  6, 15.16
dp   ,   22, 1,  1,  1,  3, 39.06
dp   ,   22, 1,  2,  4,  5, 48.47
dp   ,   22, 1,  3,  6,  6, 15.16
dp   ,   23, 1,  1,  1,  3, 39.06
dp   ,   23, 1,  2,  4,  5, 48.46
dp   ,   23, 1,  3,  6,  6, 15.16
dp   ,   24, 1,  1,  1,  3, 39.06
dp   ,   24, 1,  2,  4,  5, 48.45
dp   ,   24, 1,  3,  6,  6, 15.16
dp   ,   25, 1,  1,  1,  3, 39.06
dp   ,   25, 1,  2,  4,  5, 48.44
dp   ,   25, 1,  3,  6,  6, 15.16
dp   ,   26, 1,  1,  1,  3, 39.06
dp   ,   26, 1,  2,  4,  5, 48.43
dp   ,   26, 1,  3,  6,  6, 15.16
dp   ,   27, 1,  1,  1,  3, 39.06
dp   ,   27, 1,  2,  4,  5, 48.42
dp   ,   27, 1,  3,  6,  6, 15.16
dp   ,   28, 1,  1,  1,  3, 39.06
dp   ,   28, 1,  2,  4,  5, 48.41
dp   ,   28, 1,  3,  6,  6, 15.16
dp   ,   29, 1,  1,  1,  3, 39.06
dp   ,   29, 1,  2,  4,  5, 48.40
dp   ,   29, 1,  3,  6,  6, 15.16
dp   ,   30, 1,  1,  1,  3, 39.06
dp   ,   30, 1,  2,  4,  5, 48.39
dp   ,   30, 1,  3,  6,  6, 15.16
dp   ,   31, 1,  1,  1,  3, 39.06
dp   ,   31, 1,  2,  4,  5, 48.37
dp   ,   31, 1,  3,  6,  6, 15.16
dp   ,   32, 1,  1,  1,  3, 39.06
dp   ,   32, 1,  2,  4,  5, 48.36
dp   ,   32, 1,  3,  6,  6, 15.16
dp   ,   33, 1,  1,  1,  3, 39.06
dp   ,   33, 1,  2,  4,  5, 48.35
dp   ,   33, 1,  3,  6,  6, 15.16
dp   ,   34, 1,  1,  1,  3, 39.06
dp   ,   34, 1,  2,  4,  5, 48.34
dp   ,   34, 1,  3,  6,  6, 15.16
dp   ,   35, 1,  1,  1,  3, 39.06
dp   ,   35, 1,  2,  4,  5, 48.33
dp   ,   35, 1,  3,  6,  6, 15.16
dp   ,   36, 1,  1,  1,  3, 39.06
dp   ,   36, 1,  2,  4,  5, 48.32
dp   ,   36, 1,  3,  6,  6, 15.16
dp   ,   37, 1,  1,  1,  3, 39.06
dp   ,   37, 1,  2,  4,  5, 48.31
dp   ,   37, 1,  3,  6,  6, 15.16
dp   ,   38, 1,  1,  1,  3, 39.06
dp   ,   38, 1,  2,  4,  5, 48.30
dp   ,   38, 1,  3,  6,  6, 15.16
dp   ,   39, 1,  1,  1,  3, 39.06
dp   ,   39, 1,  2,  4,  5, 48.29
dp   ,   39, 1,  3,  6,  6, 15.16
dp   ,   40, 1,  1,  1,  3, 39.06
dp   ,   40, 1,  2,  4,  5, 48.28
dp   ,   40, 1,  3,  6,  6, 15.16
dp   ,   41, 1,  1,  1,  3, 39.06
dp   ,   41, 1,  2,  4,  5, 48.27
dp   ,   41, 1,  3,  6,  6, 15.16
dp   ,   42, 1,  1,  1,  3, 39.06
dp   ,   42, 1,  2,  4,  5, 48.26
dp   ,   42, 1,  3,  6,  6, 15.16
dp   ,   43, 1,  1,  1,  3, 39.06
dp   ,   43, 1,  2,  4,  5, 48.25
dp   ,   43, 1,  3,  6,  6, 15.16
dp   ,   44, 1,  1,  1,  3, 39.06
dp   ,   44, 1,  2,  4,  5, 48.24
dp   ,   44, 1,  3,  6,  6, 15.16
dp   ,   45, 1,  1,  1,  3, 39.06
dp   ,   45, 1,  2,  4,  5, 48.23
dp   ,   45, 1,  3,  6,  6, 15.16
dp   ,   46, 1,  1,  1,  3, 39.06
dp   ,   46, 1,  2,  4,  5, 48.22
dp   ,   46, 1,  3,  6,  6, 15.16
dp   ,   47, 1,  1,  1,  3, 39.06
dp   ,   47, 1,  2,  4,  5, 48.21
dp   ,   47, 1,  3,  6,  6, 15.16
dp   ,   48, 1,  1,  1,  3, 39.06
dp   ,   48, 1,  2,  4,  5, 48.20
dp   ,   48, 1,  3,  6,  6, 15.16
dp   ,   49, 1,  1,  1,  3, 39.06
dp   ,   49, 1,  2,  4,  5, 48.19
dp   ,   49, 1,  3,  6,  6, 15.16
dp   ,   50, 1,  1,  1,  3, 39.06
dp   ,   50, 1,  2,  4,  5, 48.18
dp   ,   50, 1,  3,  6,  6, 15.16
dp   ,   51, 1,  1,  1,  3, 39.06
dp   ,   51, 1,  2,  4,  5, 48.17
dp   ,   51, 1,  3,  6,  6, 15.16
dp   ,   52, 1,  1,  1,  3, 39.06
dp   ,   52, 1,  2,  4,  5, 48.16
dp   ,   52, 1,  3,  6,  6, 15.16
dp   ,   53, 1,  1,  1,  3, 39.06
dp   ,   53, 1,  2,  4,  5, 48.15
dp   ,   53, 1,  3,  6,  6, 15.16
dp   ,   54, 1,  1,  1,  3, 39.06
dp   ,   54, 1,  2,  4,  5, 48.14
dp   ,   54, 1,  3,  6,  6, 15.16
dp   ,   55, 1,  1,  1,  3, 39.06
dp   ,   55, 1,  2,  4,  5, 48.13
dp   ,   55, 1,  3,  6,  6, 15.16
dp   ,   56, 1,  1,  1,  3, 39.06
dp   ,   56, 1,  2,  4,  5, 48.12
dp   ,   56, 1,  3,  6,  6, 15.16
dp   ,   57, 1,  1,  1,  3, 39.06
dp   ,   57, 1,  2,  4,  5, 48.11
dp   ,   57, 1,  3,  6,  6, 15.16
dp   ,   58, 1,  1,  1,  3, 39.06
dp   ,   58, 1,  2,  4,  5, 48.10
dp   ,   58, 1,  3,  6,  6, 15.16
dp   ,   59, 1,  1,  1,  3, 39.06
dp   ,   59, 1,  2,  4,  5, 48.09
dp   ,   59, 1,  3,  6,  6, 15.16
dp   ,   60, 1,  1,  1,  3, 39.06
dp   ,   60, 1,  2,  4,  5, 48.08
dp   ,   60, 1,  3,  6,  6, 15.16
dp   ,   61, 1,  1,  1,  3, 39.06
dp   ,   61, 1,  2,  4,  5, 48.07
dp   ,   61, 1,  3,  6,  6, 15.16
dp   ,   62, 1,  1,  1,  3, 39.06
dp   ,   62, 1,  2,  4,  5, 48.06
dp   ,   62, 1,  3,  6,  6, 15.16
dp   ,   63, 1,  1,  1,  3, 39.06
dp   ,   63, 1,  2,  4,  5, 48.05
dp   ,   63, 1,  3,  6,  6, 15.16
dp   ,   64, 1,  1,  1,  3, 39.06
dp   ,   64, 1,  2,  4,  5, 48.04
dp   ,   64, 1,  3,  6,  6, 15.16
dp   ,   65, 1,  1,  1,  3, 39.06
dp   ,   65, 1,  2,  4,  5, 48.03
dp   ,   65, 1,  3,  6,  6, 15.16
dp   ,   66, 1,  1,  1,  3, 39.06
dp   ,   66, 1,  2,  4,  5, 48.02
dp   ,   66, 1,  3,  6,  6, 15.16
dp   ,   67, 1,  1,  1,  3, 39.06
dp   ,   67, 1,  2,  4,  5, 48.01
dp   ,   67, 1,  3,  6,  6, 15.16
dp   ,   68, 1,  1,  1,  3, 39.06
dp   ,   68, 1,  2,  4,  5, 48.00
dp   ,   68, 1,  3,  6,  6, 15.16
dp   ,   69, 1,  1,  1,  3, 39.06
dp   ,   69, 1,  2,  4,  5, 47.99
dp   ,   69, 1,  3,  6,  6, 15.16
dp   ,   70, 1,  1,  1,  3, 39.06
dp   ,   70, 1,  2,  4,  5, 47.98
dp   ,   70, 1,  3,  6,  6, 15.16
dp   ,   71, 1,  1,  1,  3, 39.06
dp   ,   71, 1,  2,  4,  5, 47.97
dp   ,   71, 1,  3,  6,  6, 15.16
dp   ,   72, 1,  1,  1,  3, 39.06
dp   ,   72, 1,  2,  4,  5, 47.97
dp   ,   72, 1,  3,  6,  6, 15.16
dp   ,   73, 1,  1,  1,  3, 39.06
dp   ,   73, 1,  2,  4,  5, 47.96
dp   ,   73, 1,  3,  6,  6, 15.16
dp   ,   74, 1,  1,  1,  3, 39.06
dp   ,   74, 1,  2,  4,  5, 47.95
dp   ,   74, 1,  3,  6,  6, 15.16
dp   ,   75, 1,  1,  1,  3, 39.06
dp   ,   75, 1,  2,  4,  5, 47.94
dp   ,   75, 1,  3,  6,  6, 15.16
dp   ,   76, 1,  1,  1,  3, 39.06
dp   ,   76, 1,  2,  4,  5, 47.93
dp   ,   76, 1,  3,  6,  6, 15.16
dp   ,   77, 1,  1,  1,  3, 39.06
dp   ,   77, 1,  2,  4,  5, 47.92
dp   ,   77, 1,  3,  6,  6, 15.16
dp   ,   78, 1,  1,  1,  3, 39.06
dp   ,   78, 1,  2,  4,  5, 47.91
dp   ,   78, 1,  3,  6,  6, 15.16
dp   ,   79, 1,  1,  1,  3, 39.06
dp   ,   79, 1,  2,  4,  5, 47.90
dp   ,   79, 1,  3,  6,  6, 15.16
dp   ,   80, 1,  1,  1,  3, 39.06
dp   ,   80, 1,  2,  4,  5, 47.89
dp   ,   80, 1,  3,  6,  6, 15.16
dp   ,   81, 1,  1,  1,  3, 39.06
dp   ,   81, 1,  2,  4,  5, 47.88
dp   ,   81, 1,  3,  6,  6, 15.16
dp   ,   82, 1,  1,  1,  3, 39.06
dp   ,   82, 1,  2,  4,  5, 47.88
dp   ,   82, 1,  3,  6,  6, 15.16
dp   ,   83, 1,  1,  1,  3, 39.06
dp   ,   83, 1,  2,  4,  5, 47.87
dp   ,   83, 1,  3,  6,  6, 15.16
dp   ,   84, 1,  1,  1,  3, 39.06
dp   ,   84, 1,  2,  4,  5, 47.86
dp   ,   84, 1,  3,  6,  6, 15.16
dp   ,   85, 1,  1,  1,  3, 39.06
dp   ,   85, 1,  2,  4,  5, 47.85
dp   ,   85, 1,  3,  6,  6, 15.16
dp   ,   86, 1,  1,  1,  3, 39.06
