case,i,anode,dest,x,y,ndest,maxdif
    0,    2,    1,    1,300.00, 63.84, 38.50, 25.34
    0,    5,    2,    1,225.00, 51.65, 50.35,  1.30
    0,    5,    2,    1,214.94, 51.57, 50.35,  1.22
    0,    5,    2,    1,205.97, 51.49, 50.35,  1.15
    0,    5,    2,    1,179.19, 51.27, 50.35,  0.92
    0,    5,    2,    1,172.08, 51.21, 50.35,  0.86
    0,    5,    2,    1,165.74, 51.16, 50.35,  0.81
    0,    5,    2,    1,146.80, 51.00, 50.35,  0.65
    0,    5,    2,    1,141.77, 50.96, 50.35,  0.61
    0,    5,    2,    1,137.28, 50.92, 50.35,  0.57
    0,    5,    2,    1,123.89, 50.81, 50.35,  0.46
    0,    5,    2,    1,120.33, 50.78, 50.35,  0.43
    0,    5,    2,    1,117.16, 50.75, 50.35,  0.40
    0,    5,    2,    1,107.69, 50.67, 50.35,  0.33
    0,    5,    2,    1,105.18, 50.65, 50.35,  0.31
    0,    5,    2,    1,102.93, 50.63, 50.35,  0.29
    0,    5,    2,    1, 96.24, 50.58, 50.35,  0.23
    0,    5,    2,    1, 94.46, 50.56, 50.35,  0.22
    0,    5,    2,    1, 92.87, 50.55, 50.35,  0.20
    0,    5,    2,    1, 88.14, 50.51, 50.35,  0.16
    0,    5,    2,    1, 86.88, 50.50, 50.35,  0.15
    0,    5,    2,    1, 85.76, 50.49, 50.35,  0.14
    0,    5,    2,    1, 82.41, 50.46, 50.35,  0.12
    0,    5,    2,    1, 81.52, 50.45, 50.35,  0.11
    0,    5,    2,    1, 80.72, 50.45, 50.35,  0.10
    0,    5,    2,    1, 78.36, 50.43, 50.35,  0.08
    0,    5,    2,    1, 77.73, 50.42, 50.35,  0.08
    0,    5,    2,    1, 77.17, 50.42, 50.35,  0.07
    0,    5,    2,    1, 75.49, 50.40, 50.35,  0.06
    0,    5,    2,    1, 75.05, 50.40, 50.35,  0.05
    0,    5,    2,    1, 74.65, 50.40, 50.35,  0.05
    0,    5,    2,    1, 73.46, 50.39, 50.35,  0.04
    0,    5,    2,    1, 73.15, 50.38, 50.35,  0.04
    0,    5,    2,    1, 72.87, 50.38, 50.35,  0.04
    0,    5,    2,    1, 72.03, 50.38, 50.35,  0.03
    0,    5,    2,    1, 71.81, 50.37, 50.35,  0.03
    0,    5,    2,    1, 71.61, 50.37, 50.35,  0.03
    0,    5,    2,    1, 71.02, 50.37, 50.35,  0.02
    0,    5,    2,    1, 70.86, 50.37, 50.35,  0.02
    0,    5,    2,    1, 70.72, 50.36, 50.35,  0.02
    0,    5,    2,    1, 70.30, 50.36, 50.35,  0.01
    0,    5,    2,    1, 70.19, 50.36, 50.35,  0.01
    0,    5,    2,    1, 70.09, 50.36, 50.35,  0.01
    0,    5,    2,    1, 69.80, 50.36, 50.35,  0.01
    0,    5,    2,    1, 69.72, 50.36, 50.35,  0.01
    0,    5,    2,    1, 69.65, 50.36, 50.35,  0.01
    1,    2,    1,    1,300.00, 63.66, 38.50, 25.16
    1,    5,    2,    1,225.00, 51.65, 50.33,  1.32
