case,origin,dest,demand,y,flow
    0, 1,  4,300.0000, 40.1667,300.0000
    0, 2,  4,225.0000, 50.3464,155.3538
    1, 1,  4,300.0000, 40.1667,300.0000
    1, 2,  4,225.0000, 50.3307,156.7310
    2, 1,  4,300.0000, 40.1667,300.0000
    2, 2,  4,225.0000, 50.3150,158.2419
    3, 1,  4,300.0000, 40.1667,300.0000
    3, 2,  4,225.0000, 50.2993,159.7377
    4, 1,  4,300.0000, 40.1667,300.0000
    4, 2,  4,225.0000, 50.2838,161.2188
    5, 1,  4,300.0000, 40.1667,300.0000
    5, 2,  4,225.0000, 50.2683,162.6852
    6, 1,  4,300.0000, 40.1667,300.0000
    6, 2,  4,225.0000, 50.2530,164.1373
    7, 1,  4,300.0000, 40.1667,300.0000
    7, 2,  4,225.0000, 50.2376,165.5752
    8, 1,  4,300.0000, 40.1667,300.0000
    8, 2,  4,225.0000, 50.2224,166.9991
    9, 1,  4,300.0000, 40.1667,300.0000
    9, 2,  4,225.0000, 50.2072,168.4091
   10, 1,  4,300.0000, 40.1667,300.0000
   10, 2,  4,225.0000, 50.1922,169.8056
   11, 1,  4,300.0000, 40.1667,300.0000
   11, 2,  4,225.0000, 50.1771,171.1886
   12, 1,  4,300.0000, 40.1667,300.0000
   12, 2,  4,225.0000, 50.1622,172.5583
   13, 1,  4,300.0000, 40.1667,300.0000
   13, 2,  4,225.0000, 50.1473,173.6752
   14, 1,  4,300.0000, 40.1667,300.0000
   14, 2,  4,225.0000, 50.1325,175.0232
   15, 1,  4,300.0000, 40.1667,300.0000
   15, 2,  4,225.0000, 50.1178,176.3584
   16, 1,  4,300.0000, 40.1667,300.0000
   16, 2,  4,225.0000, 50.1032,177.6811
   17, 1,  4,300.0000, 40.1667,300.0000
   17, 2,  4,225.0000, 50.0886,179.0110
   18, 1,  4,300.0000, 40.1667,300.0000
   18, 2,  4,225.0000, 50.0741,180.3075
   19, 1,  4,300.0000, 40.1667,300.0000
   19, 2,  4,225.0000, 50.0596,181.4393
   20, 1,  4,300.0000, 40.1667,300.0000
   20, 2,  4,225.0000, 50.0452,182.7144
   21, 1,  4,300.0000, 40.1667,300.0000
   21, 2,  4,225.0000, 50.0309,183.9777
   22, 1,  4,300.0000, 40.1667,300.0000
   22, 2,  4,225.0000, 50.0167,185.2295
   23, 1,  4,300.0000, 40.1667,300.0000
   23, 2,  4,225.0000, 50.0025,186.4698
   24, 1,  4,300.0000, 40.1667,300.0000
   24, 2,  4,225.0000, 49.9884,187.6988
   25, 1,  4,300.0000, 40.1667,300.0000
   25, 2,  4,225.0000, 49.9744,188.9167
   26, 1,  4,300.0000, 40.1667,300.0000
   26, 2,  4,225.0000, 49.9604,189.9660
   27, 1,  4,300.0000, 40.1667,300.0000
   27, 2,  4,225.0000, 49.9465,191.1647
   28, 1,  4,300.0000, 40.1667,300.0000
   28, 2,  4,225.0000, 49.9326,192.3526
   29, 1,  4,300.0000, 40.1667,300.0000
   29, 2,  4,225.0000, 49.9189,193.5299
   30, 1,  4,300.0000, 40.1667,300.0000
   30, 2,  4,225.0000, 49.9051,194.6967
   31, 1,  4,300.0000, 40.1667,300.0000
   31, 2,  4,225.0000, 49.8915,195.8532
   32, 1,  4,300.0000, 40.1667,300.0000
   32, 2,  4,225.0000, 49.8779,196.9995
   33, 1,  4,300.0000, 40.1667,300.0000
   33, 2,  4,225.0000, 49.8644,198.1358
   34, 1,  4,300.0000, 40.1667,300.0000
   34, 2,  4,225.0000, 49.8509,199.1012
   35, 1,  4,300.0000, 40.1667,300.0000
   35, 2,  4,225.0000, 49.8375,200.2203
   36, 1,  4,300.0000, 40.1667,300.0000
   36, 2,  4,225.0000, 49.8242,201.3298
   37, 1,  4,300.0000, 40.1667,300.0000
   37, 2,  4,225.0000, 49.8109,202.4296
   38, 1,  4,300.0000, 40.1667,300.0000
   38, 2,  4,225.0000, 49.7977,203.5200
   39, 1,  4,300.0000, 40.1667,300.0000
   39, 2,  4,225.0000, 49.7845,204.6010
   40, 1,  4,300.0000, 40.1667,300.0000
   40, 2,  4,225.0000, 49.7714,205.6727
   41, 1,  4,300.0000, 40.1667,300.0000
   41, 2,  4,225.0000, 49.7584,206.7354
   42, 1,  4,300.0000, 40.1667,300.0000
   42, 2,  4,225.0000, 49.7454,207.6234
   43, 1,  4,300.0000, 40.1667,300.0000
   43, 2,  4,225.0000, 49.7325,208.6709
   44, 1,  4,300.0000, 40.1667,300.0000
   44, 2,  4,225.0000, 49.7196,209.7095
   45, 1,  4,300.0000, 40.1667,300.0000
   45, 2,  4,225.0000, 49.7068,210.7394
   46, 1,  4,300.0000, 40.1667,300.0000
   46, 2,  4,225.0000, 49.6941,211.7607
   47, 1,  4,300.0000, 40.1667,300.0000
   47, 2,  4,225.0000, 49.6814,212.7735
   48, 1,  4,300.0000, 40.1667,300.0000
   48, 2,  4,225.0000, 49.6688,213.7779
   49, 1,  4,300.0000, 40.1667,300.0000
   49, 2,  4,225.0000, 49.6562,214.7739
   50, 1,  4,300.0000, 40.1667,300.0000
   50, 2,  4,225.0000, 49.6437,215.7618
   51, 1,  4,300.0000, 40.1667,300.0000
   51, 2,  4,225.0000, 49.6312,216.5726
   52, 1,  4,300.0000, 40.1667,300.0000
   52, 2,  4,225.0000, 49.6188,217.5471
   53, 1,  4,300.0000, 40.1667,300.0000
   53, 2,  4,225.0000, 49.6064,218.5137
   54, 1,  4,300.0000, 40.1667,300.0000
   54, 2,  4,225.0000, 49.5941,219.4724
   55, 1,  4,300.0000, 40.1667,300.0000
   55, 2,  4,225.0000, 49.5819,220.4234
   56, 1,  4,300.0000, 40.1667,300.0000
   56, 2,  4,225.0000, 49.5697,221.3668
   57, 1,  4,300.0000, 40.1667,300.0000
   57, 2,  4,225.0000, 49.5575,222.3025
   58, 1,  4,300.0000, 40.1667,300.0000
   58, 2,  4,225.0000, 49.5454,223.2308
   59, 1,  4,300.0000, 40.1667,300.0000
   59, 2,  4,225.0000, 49.5334,224.1517
   60, 1,  4,300.0000, 40.1667,300.0000
   60, 2,  4,225.0000, 49.5214,225.0000
   61, 1,  4,300.0000, 40.1667,300.0000
   61, 2,  4,225.0000, 49.5095,225.0000
   62, 1,  4,300.0000, 40.1667,300.0000
   62, 2,  4,225.0000, 49.4976,225.0000
   63, 1,  4,300.0000, 40.1667,300.0000
   63, 2,  4,225.0000, 49.4858,225.0000
   64, 1,  4,300.0000, 40.1667,300.0000
   64, 2,  4,225.0000, 49.4740,225.0000
   65, 1,  4,300.0000, 40.1667,300.0000
   65, 2,  4,225.0000, 49.4623,225.0000
   66, 1,  4,300.0000, 40.1667,300.0000
   66, 2,  4,225.0000, 49.4506,225.0000
   67, 1,  4,300.0000, 40.1667,300.0000
   67, 2,  4,225.0000, 49.4390,225.0000
   68, 1,  4,300.0000, 40.1667,300.0000
   68, 2,  4,225.0000, 49.4274,225.0000
   69, 1,  4,300.0000, 40.1667,300.0000
   69, 2,  4,225.0000, 49.4159,225.0000
   70, 1,  4,300.0000, 40.1667,300.0000
   70, 2,  4,225.0000, 49.4044,225.0000
   71, 1,  4,300.0000, 40.1667,300.0000
