method,case,dest,node,fout,lout,label
dp   ,    0, 1,  1,  1,  3, 44.82
dp   ,    0, 1,  2,  4,  5, 62.31
dp   ,    0, 1,  3,  6,  6, 16.58
dp   ,    1, 1,  1,  1,  3, 44.82
dp   ,    1, 1,  2,  4,  5, 62.24
dp   ,    1, 1,  3,  6,  6, 16.58
dp   ,    2, 1,  1,  1,  3, 44.82
dp   ,    2, 1,  2,  4,  5, 62.17
dp   ,    2, 1,  3,  6,  6, 16.58
dp   ,    3, 1,  1,  1,  3, 44.82
dp   ,    3, 1,  2,  4,  5, 62.10
dp   ,    3, 1,  3,  6,  6, 16.58
dp   ,    4, 1,  1,  1,  3, 44.82
dp   ,    4, 1,  2,  4,  5, 62.03
dp   ,    4, 1,  3,  6,  6, 16.58
dp   ,    5, 1,  1,  1,  3, 44.82
dp   ,    5, 1,  2,  4,  5, 61.96
dp   ,    5, 1,  3,  6,  6, 16.58
dp   ,    6, 1,  1,  1,  3, 44.82
dp   ,    6, 1,  2,  4,  5, 61.89
dp   ,    6, 1,  3,  6,  6, 16.58
dp   ,    7, 1,  1,  1,  3, 44.82
dp   ,    7, 1,  2,  4,  5, 61.82
dp   ,    7, 1,  3,  6,  6, 16.58
dp   ,    8, 1,  1,  1,  3, 44.82
dp   ,    8, 1,  2,  4,  5, 61.76
dp   ,    8, 1,  3,  6,  6, 16.58
dp   ,    9, 1,  1,  1,  3, 44.82
dp   ,    9, 1,  2,  4,  5, 61.69
dp   ,    9, 1,  3,  6,  6, 16.58
dp   ,   10, 1,  1,  1,  3, 44.82
dp   ,   10, 1,  2,  4,  5, 61.62
dp   ,   10, 1,  3,  6,  6, 16.58
dp   ,   11, 1,  1,  1,  3, 44.82
dp   ,   11, 1,  2,  4,  5, 61.56
dp   ,   11, 1,  3,  6,  6, 16.58
dp   ,   12, 1,  1,  1,  3, 44.82
dp   ,   12, 1,  2,  4,  5, 61.49
dp   ,   12, 1,  3,  6,  6, 16.58
dp   ,   13, 1,  1,  1,  3, 44.82
dp   ,   13, 1,  2,  4,  5, 61.43
dp   ,   13, 1,  3,  6,  6, 16.58
dp   ,   14, 1,  1,  1,  3, 44.82
dp   ,   14, 1,  2,  4,  5, 61.36
dp   ,   14, 1,  3,  6,  6, 16.58
dp   ,   15, 1,  1,  1,  3, 44.82
dp   ,   15, 1,  2,  4,  5, 61.30
dp   ,   15, 1,  3,  6,  6, 16.58
dp   ,   16, 1,  1,  1,  3, 44.82
dp   ,   16, 1,  2,  4,  5, 61.23
dp   ,   16, 1,  3,  6,  6, 16.58
dp   ,   17, 1,  1,  1,  3, 44.82
dp   ,   17, 1,  2,  4,  5, 61.17
dp   ,   17, 1,  3,  6,  6, 16.58
dp   ,   18, 1,  1,  1,  3, 44.82
dp   ,   18, 1,  2,  4,  5, 61.11
dp   ,   18, 1,  3,  6,  6, 16.58
dp   ,   19, 1,  1,  1,  3, 44.82
dp   ,   19, 1,  2,  4,  5, 61.05
dp   ,   19, 1,  3,  6,  6, 16.58
dp   ,   20, 1,  1,  1,  3, 44.82
dp   ,   20, 1,  2,  4,  5, 60.98
dp   ,   20, 1,  3,  6,  6, 16.58
dp   ,   21, 1,  1,  1,  3, 44.82
dp   ,   21, 1,  2,  4,  5, 60.92
dp   ,   21, 1,  3,  6,  6, 16.58
dp   ,   22, 1,  1,  1,  3, 44.82
dp   ,   22, 1,  2,  4,  5, 60.86
dp   ,   22, 1,  3,  6,  6, 16.58
dp   ,   23, 1,  1,  1,  3, 44.82
dp   ,   23, 1,  2,  4,  5, 60.80
dp   ,   23, 1,  3,  6,  6, 16.58
dp   ,   24, 1,  1,  1,  3, 44.82
dp   ,   24, 1,  2,  4,  5, 60.74
dp   ,   24, 1,  3,  6,  6, 16.58
dp   ,   25, 1,  1,  1,  3, 44.82
dp   ,   25, 1,  2,  4,  5, 60.68
dp   ,   25, 1,  3,  6,  6, 16.58
dp   ,   26, 1,  1,  1,  3, 44.82
dp   ,   26, 1,  2,  4,  5, 60.62
dp   ,   26, 1,  3,  6,  6, 16.58
dp   ,   27, 1,  1,  1,  3, 44.82
dp   ,   27, 1,  2,  4,  5, 60.56
dp   ,   27, 1,  3,  6,  6, 16.58
dp   ,   28, 1,  1,  1,  3, 44.82
dp   ,   28, 1,  2,  4,  5, 60.50
dp   ,   28, 1,  3,  6,  6, 16.58
dp   ,   29, 1,  1,  1,  3, 44.82
dp   ,   29, 1,  2,  4,  5, 60.44
dp   ,   29, 1,  3,  6,  6, 16.58
dp   ,   30, 1,  1,  1,  3, 44.82
dp   ,   30, 1,  2,  4,  5, 60.38
dp   ,   30, 1,  3,  6,  6, 16.58
dp   ,   31, 1,  1,  1,  3, 44.82
dp   ,   31, 1,  2,  4,  5, 60.33
dp   ,   31, 1,  3,  6,  6, 16.58
dp   ,   32, 1,  1,  1,  3, 44.82
dp   ,   32, 1,  2,  4,  5, 60.27
dp   ,   32, 1,  3,  6,  6, 16.58
dp   ,   33, 1,  1,  1,  3, 44.82
dp   ,   33, 1,  2,  4,  5, 60.21
dp   ,   33, 1,  3,  6,  6, 16.58
dp   ,   34, 1,  1,  1,  3, 44.82
dp   ,   34, 1,  2,  4,  5, 60.15
dp   ,   34, 1,  3,  6,  6, 16.58
dp   ,   35, 1,  1,  1,  3, 44.82
dp   ,   35, 1,  2,  4,  5, 60.10
dp   ,   35, 1,  3,  6,  6, 16.58
dp   ,   36, 1,  1,  1,  3, 44.82
dp   ,   36, 1,  2,  4,  5, 60.04
dp   ,   36, 1,  3,  6,  6, 16.58
dp   ,   37, 1,  1,  1,  3, 44.82
dp   ,   37, 1,  2,  4,  5, 59.99
dp   ,   37, 1,  3,  6,  6, 16.58
dp   ,   38, 1,  1,  1,  3, 44.82
dp   ,   38, 1,  2,  4,  5, 59.93
dp   ,   38, 1,  3,  6,  6, 16.58
dp   ,   39, 1,  1,  1,  3, 44.82
dp   ,   39, 1,  2,  4,  5, 59.88
