id,tc,fair
0,18311.059999999998,-8.210100000000004
1,18300.44,-8.139299999999999
2,18289.91,-8.069099999999999
3,18279.440000000002,-7.999300000000005
4,18269.045,-7.93
5,18258.71,-7.8611
6,18248.464999999997,-7.7928
7,18238.28,-7.724900000000005
8,18228.17,-7.657499999999999
9,18218.12,-7.590499999999999
10,18208.144999999997,-7.524000000000001
11,18198.245,-7.457999999999998
12,18188.405,-7.392400000000002
13,18178.625,-7.327200000000005
14,18168.92,-7.262500000000003
15,18159.275,-7.1982
16,18149.690000000002,-7.134300000000003
17,18140.18,-7.070900000000002
18,18130.73,-7.007899999999999
19,18121.34,-6.945300000000003
20,18112.01,-6.883099999999999
21,18102.754999999997,-6.821400000000004
22,18093.545,-6.760000000000005
23,18084.41,-6.699100000000001
24,18075.32,-6.6385000000000005
25,18066.305,-6.578400000000002
26,18057.335,-6.518599999999999
27,18048.425,-6.459200000000003
28,18039.575,-6.400200000000005
29,18030.785,-6.3416
30,18022.055,-6.2834
31,18013.385,-6.2256
32,18004.760000000002,-6.168100000000003
33,17996.195,-6.111000000000004
34,17987.690000000002,-6.054300000000005
35,17979.23,-5.997900000000001
36,17970.83,-5.941900000000004
37,17962.475,-5.886200000000002
38,17954.18,-5.8309
39,17945.945,-5.776000000000003
40,17937.739999999998,-5.721299999999999
41,17929.61,-5.667100000000005
42,17921.525,-5.613199999999999
43,17913.485,-5.559600000000003
44,17905.489999999998,-5.506300000000003
45,17897.555,-5.453400000000002
46,17889.665,-5.400800000000004
47,17881.835,-5.348600000000005
48,17874.035,-5.296600000000005
49,17866.295,-5.2450000000000045
50,17858.6,-5.1937
51,17850.95,-5.142700000000005
52,17843.36,-5.092100000000002
53,17835.8,-5.041699999999999
54,17828.3,-4.991700000000002
55,17820.83,-4.941900000000004
56,17813.42,-4.892500000000005
57,17806.04,-4.843299999999999
58,17798.72,-4.794499999999999
59,17791.43,-4.745899999999999
60,17784.2,-4.697700000000005
61,17777.0,-4.649700000000003
62,17769.845,-4.602000000000004
63,17762.735,-4.554600000000001
64,17755.67,-4.5075
65,17748.65,-4.460700000000003
66,17741.66,-4.414100000000005
67,17734.73,-4.367899999999999
68,17727.83,-4.321899999999999
69,17720.96,-4.2761
70,17714.15,-4.230699999999999
71,17707.370000000003,-4.185500000000005
72,17700.635,-4.140599999999999
73,17693.93,-4.0959
74,17687.27,-4.051500000000004
75,17680.64,-4.007300000000001
76,17674.055,-3.9634
77,17667.515,-3.919800000000002
78,17661.004999999997,-3.876400000000004
79,17654.54,-3.8333000000000013
80,17648.105,-3.7904000000000053
81,17641.715,-3.747800000000005
82,17635.355,-3.7054000000000045
83,17629.025,-3.6632000000000033
84,17622.739999999998,-3.621300000000005
85,17616.485,-3.5795999999999992
86,17610.275,-3.5382000000000033
87,17604.095,-3.497
88,17597.945,-3.456000000000003
89,17591.84,-3.415300000000002
90,17585.765,-3.3748000000000005
91,17579.72,-3.3344999999999985
92,17573.72,-3.2944999999999993
93,17567.735,-3.2546000000000035
94,17561.795,-3.2150000000000034
95,17555.9,-3.175699999999999
96,17550.02,-3.136500000000005
97,17544.17,-3.0975000000000037
98,17538.364999999998,-3.058800000000005
99,17532.589999999997,-3.020299999999999
100,17526.845,-2.9819999999999993
101,17521.129999999997,-2.9438999999999993
102,17515.445,-2.905999999999999
103,17509.79,-2.868300000000005
104,17504.18,-2.8308999999999997
105,17498.585,-2.793600000000005
106,17493.02,-2.7565000000000026
107,17487.5,-2.719700000000003
108,17481.995,-2.683
109,17476.52,-2.646500000000003
110,17471.09,-2.6103000000000023
111,17465.675,-2.5742000000000047
112,17460.29,-2.5382999999999996
113,17454.934999999998,-2.502600000000001
114,17449.61,-2.467100000000002
115,17444.315000000002,-2.4318000000000026
116,17439.05,-2.3967000000000027
117,17433.815,-2.3618000000000023
118,17428.595,-2.3270000000000053
119,17423.42,-2.292500000000004
120,17418.26,-2.258099999999999
121,17413.129999999997,-2.2239000000000004
122,17408.03,-2.1899000000000015
123,17402.945,-2.155999999999999
