case,i,anode,dest,x,y,ndest,maxdif
    0,    2,    1,    1,200.00,155.80, 48.80,107.00
    1,    2,    1,    1,200.00,154.73, 48.80,105.93
    2,    2,    1,    1,200.00,153.67, 48.80,104.87
    3,    2,    1,    1,200.00,152.63, 48.80,103.83
    4,    2,    1,    1,200.00,151.61, 48.80,102.81
    5,    2,    1,    1,200.00,150.59, 48.80,101.79
    6,    2,    1,    1,200.00,149.60, 48.80,100.80
    7,    2,    1,    1,200.00,148.61, 48.80, 99.81
    8,    2,    1,    1,200.00,147.64, 48.80, 98.84
    9,    2,    1,    1,200.00,146.68, 48.80, 97.88
   10,    2,    1,    1,200.00,145.74, 48.80, 96.94
   11,    2,    1,    1,200.00,144.81, 48.80, 96.01
   12,    2,    1,    1,200.00,143.89, 48.80, 95.09
   13,    2,    1,    1,200.00,142.98, 48.80, 94.18
   14,    2,    1,    1,200.00,142.09, 48.80, 93.29
   15,    2,    1,    1,200.00,141.20, 48.80, 92.40
   16,    2,    1,    1,200.00,140.33, 48.80, 91.53
   17,    2,    1,    1,200.00,139.47, 48.80, 90.67
   18,    2,    1,    1,200.00,138.62, 48.80, 89.82
   19,    2,    1,    1,200.00,137.78, 48.80, 88.98
   20,    2,    1,    1,200.00,136.96, 48.80, 88.16
   21,    2,    1,    1,200.00,136.14, 48.80, 87.34
   22,    2,    1,    1,200.00,135.33, 48.80, 86.53
   23,    2,    1,    1,200.00,134.54, 48.80, 85.74
   24,    2,    1,    1,200.00,133.75, 48.80, 84.95
   25,    2,    1,    1,200.00,132.97, 48.80, 84.17
   26,    2,    1,    1,200.00,132.21, 48.80, 83.41
   27,    2,    1,    1,200.00,131.45, 48.80, 82.65
   28,    2,    1,    1,200.00,130.70, 48.80, 81.90
   29,    2,    1,    1,200.00,129.96, 48.80, 81.16
   30,    2,    1,    1,200.00,129.23, 48.80, 80.43
   31,    2,    1,    1,200.00,128.51, 48.80, 79.71
   32,    2,    1,    1,200.00,127.80, 48.80, 79.00
   33,    2,    1,    1,200.00,127.10, 48.80, 78.30
   34,    2,    1,    1,200.00,126.40, 48.80, 77.60
   35,    2,    1,    1,200.00,125.72, 48.80, 76.92
   36,    2,    1,    1,200.00,125.04, 48.80, 76.24
   37,    2,    1,    1,200.00,124.37, 48.80, 75.57
   38,    2,    1,    1,200.00,123.70, 48.80, 74.90
   39,    2,    1,    1,200.00,123.05, 48.80, 74.25
   40,    2,    1,    1,200.00,122.40, 48.80, 73.60
   41,    2,    1,    1,200.00,121.76, 48.80, 72.96
   42,    2,    1,    1,200.00,121.13, 48.80, 72.33
   43,    2,    1,    1,200.00,120.51, 48.80, 71.71
   44,    2,    1,    1,200.00,119.89, 48.80, 71.09
   45,    2,    1,    1,200.00,119.28, 48.80, 70.48
   46,    2,    1,    1,200.00,118.68, 48.80, 69.88
   47,    2,    1,    1,200.00,118.08, 48.80, 69.28
   47,    5,    2,    1,150.00,141.83, 72.53, 69.29
   48,    2,    1,    1,200.00,117.49, 48.80, 68.69
   48,    5,    2,    1,150.00,141.83, 72.44, 69.39
   49,    2,    1,    1,200.00,116.91, 48.80, 68.11
   49,    5,    2,    1,150.00,141.83, 72.34, 69.49
   50,    2,    1,    1,200.00,116.33, 48.80, 67.53
   50,    5,    2,    1,150.00,141.83, 72.24, 69.58
   51,    2,    1,    1,200.00,115.76, 48.80, 66.96
   51,    5,    2,    1,150.00,141.83, 72.14, 69.68
   52,    2,    1,    1,200.00,115.20, 48.80, 66.40
   52,    5,    2,    1,150.00,141.83, 72.05, 69.78
   53,    2,    1,    1,200.00,114.64, 48.80, 65.84
   53,    5,    2,    1,150.00,141.83, 71.95, 69.87
   54,    2,    1,    1,200.00,114.09, 48.80, 65.29
   54,    5,    2,    1,150.00,141.83, 71.86, 69.97
   55,    2,    1,    1,200.00,113.54, 48.80, 64.74
   55,    5,    2,    1,150.00,141.83, 71.76, 70.06
   56,    2,    1,    1,200.00,113.01, 48.80, 64.21
   56,    5,    2,    1,150.00,141.83, 71.67, 70.15
   57,    2,    1,    1,200.00,112.47, 48.80, 63.67
   57,    5,    2,    1,150.00,141.83, 71.58, 70.25
   58,    2,    1,    1,200.00,111.94, 48.80, 63.14
   58,    5,    2,    1,150.00,141.83, 71.49, 70.34
   59,    2,    1,    1,200.00,111.42, 48.80, 62.62
   59,    5,    2,    1,150.00,141.83, 71.39, 70.43
   60,    2,    1,    1,200.00,110.91, 48.80, 62.11
   60,    5,    2,    1,150.00,141.83, 71.30, 70.52
   61,    2,    1,    1,200.00,110.40, 48.80, 61.60
   61,    5,    2,    1,150.00,141.83, 71.21, 70.61
   62,    2,    1,    1,200.00,109.89, 48.80, 61.09
   62,    5,    2,    1,150.00,141.83, 71.12, 70.70
   63,    2,    1,    1,200.00,109.39, 48.80, 60.59
   63,    5,    2,    1,150.00,141.83, 71.03, 70.79
   64,    2,    1,    1,200.00,108.90, 48.80, 60.10
   64,    5,    2,    1,150.00,141.83, 70.94, 70.88
   65,    2,    1,    1,200.00,108.41, 48.80, 59.61
   65,    5,    2,    1,150.00,141.83, 70.86, 70.97
   66,    2,    1,    1,200.00,107.92, 48.80, 59.12
   66,    5,    2,    1,150.00,141.83, 70.77, 71.06
   67,    2,    1,    1,200.00,107.44, 48.80, 58.64
   67,    5,    2,    1,150.00,141.83, 70.68, 71.14
   68,    2,    1,    1,200.00,106.97, 48.80, 58.17
   68,    5,    2,    1,150.00,141.83, 70.59, 71.23
   69,    2,    1,    1,200.00,106.50, 48.80, 57.70
   69,    5,    2,    1,150.00,141.83, 70.51, 71.32
   70,    2,    1,    1,200.00,106.04, 48.80, 57.24
   70,    5,    2,    1,150.00,141.83, 70.42, 71.40
   71,    2,    1,    1,200.00,105.58, 48.80, 56.78
   71,    5,    2,    1,150.00,141.83, 70.34, 71.49
   72,    2,    1,    1,200.00,105.12, 48.80, 56.32
   72,    5,    2,    1,150.00,141.83, 70.25, 71.57
   73,    2,    1,    1,200.00,104.67, 48.80, 55.87
   73,    5,    2,    1,150.00,141.83, 70.17, 71.66
   74,    2,    1,    1,200.00,104.23, 48.80, 55.43
   74,    5,    2,    1,150.00,141.83, 70.08, 71.74
   75,    2,    1,    1,200.00,103.79, 48.80, 54.99
   75,    5,    2,    1,150.00,141.83, 70.00, 71.82
   76,    2,    1,    1,200.00,103.35, 48.80, 54.55
   76,    5,    2,    1,150.00,141.83, 69.92, 71.91
   77,    2,    1,    1,200.00,102.92, 48.80, 54.12
   77,    5,    2,    1,150.00,141.83, 69.84, 71.99
   78,    2,    1,    1,200.00,102.49, 48.80, 53.69
   78,    5,    2,    1,150.00,141.83, 69.75, 72.07
   79,    2,    1,    1,200.00,102.07, 48.80, 53.27
   79,    5,    2,    1,150.00,141.83, 69.67, 72.15
   80,    2,    1,    1,200.00,101.65, 48.80, 52.85
   80,    5,    2,    1,150.00,141.83, 69.59, 72.23
   81,    2,    1,    1,200.00,101.23, 48.80, 52.43
   81,    5,    2,    1,150.00,141.83, 69.51, 72.31
   82,    2,    1,    1,200.00,100.82, 48.80, 52.02
   82,    5,    2,    1,150.00,141.83, 69.43, 72.39
   83,    2,    1,    1,200.00,100.42, 48.80, 51.62
   83,    5,    2,    1,150.00,141.83, 69.35, 72.47
   84,    2,    1,    1,200.00,100.01, 48.80, 51.21
   84,    5,    2,    1,150.00,141.83, 69.27, 72.55
   85,    2,    1,    1,200.00, 99.61, 48.80, 50.81
   85,    5,    2,    1,150.00,141.83, 69.20, 72.63
   86,    2,    1,    1,200.00, 99.22, 48.80, 50.42
   86,    5,    2,    1,150.00,141.83, 69.12, 72.71
   87,    2,    1,    1,200.00, 98.83, 48.80, 50.03
   87,    5,    2,    1,150.00,141.83, 69.04, 72.79
   88,    2,    1,    1,200.00, 98.44, 48.80, 49.64
   88,    5,    2,    1,150.00,141.83, 68.96, 72.86
   89,    2,    1,    1,200.00, 98.06, 48.80, 49.26
   89,    5,    2,    1,150.00,141.83, 68.89, 72.94
   90,    2,    1,    1,200.00, 97.68, 48.80, 48.88
   90,    5,    2,    1,150.00,141.83, 68.81, 73.02
   91,    2,    1,    1,200.00, 97.30, 48.80, 48.50
   91,    5,    2,    1,150.00,141.83, 68.73, 73.09
   92,    2,    1,    1,200.00, 96.93, 48.80, 48.13
   92,    5,    2,    1,150.00,141.83, 68.66, 73.17
   93,    2,    1,    1,200.00, 96.56, 48.80, 47.76
   93,    5,    2,    1,150.00,141.83, 68.58, 73.24
   94,    2,    1,    1,200.00, 96.19, 48.80, 47.39
   94,    5,    2,    1,150.00,141.83, 68.51, 73.32
   95,    2,    1,    1,200.00, 95.83, 48.80, 47.03
   95,    5,    2,    1,150.00,141.83, 68.44, 73.39
   96,    2,    1,    1,200.00, 95.47, 48.80, 46.67
   96,    5,    2,    1,150.00,141.83, 68.36, 73.46
   97,    2,    1,    1,200.00, 95.12, 48.80, 46.32
   97,    5,    2,    1,150.00,141.83, 68.29, 73.54
   98,    2,    1,    1,200.00, 94.76, 48.80, 45.96
   98,    5,    2,    1,150.00,141.83, 68.22, 73.61
   99,    2,    1,    1,200.00, 94.42, 48.80, 45.62
   99,    5,    2,    1,150.00,141.83, 68.14, 73.68
  100,    2,    1,    1,200.00, 94.07, 48.80, 45.27
  100,    5,    2,    1,150.00,141.83, 68.07, 73.75
  101,    2,    1,    1,200.00, 93.73, 48.80, 44.93
  101,    5,    2,    1,150.00,141.83, 68.00, 73.82
