method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   ,    0, 1,  1,      0.00,1000.00, 21.30,0.0000,0.0000,  1,  2
dp   ,    0, 1,  2,      0.00,  42.94, 27.60,0.0000,0.0000,  1,  3
dp   ,    0, 1,  3,    200.00,  39.61, 39.61,1.0000,0.0000,  1,  4
dp   ,    0, 1,  4,    150.00,  47.64, 32.30,1.0000,0.0000,  2,  3
dp   ,    0, 1,  5,      0.00,  48.73, 48.73,0.0000,0.0000,  2,  4
dp   ,    0, 1,  6,    150.00,  15.34, 15.34,1.0000,0.0000,  3,  4
dp   ,    1, 1,  1,      0.00,  55.09, 19.27,0.0000,0.0000,  1,  2
dp   ,    1, 1,  2,    200.00,  44.54, 25.57,1.0000,0.0000,  1,  3
dp   ,    1, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,    1, 1,  4,      0.00,1000.00, 27.94,0.0000,0.0000,  2,  3
dp   ,    1, 1,  5,    150.00,  35.82, 35.82,1.0000,0.0000,  2,  4
dp   ,    1, 1,  6,    200.00,  18.97, 18.97,1.0000,0.0000,  3,  4
dp   ,    2, 1,  1,      0.00,1000.00, 19.27,0.0000,0.0000,  1,  2
dp   ,    2, 1,  2,    200.00,  40.76, 25.57,1.0000,0.0000,  1,  3
dp   ,    2, 1,  3,      0.00,  55.39, 55.39,0.0000,0.0000,  1,  4
dp   ,    2, 1,  4,      0.00,  43.14, 27.94,0.0000,0.0000,  2,  3
dp   ,    2, 1,  5,    150.00,  35.82, 35.82,1.0000,0.0000,  2,  4
dp   ,    2, 1,  6,    200.00,  15.19, 15.19,1.0000,0.0000,  3,  4
dp   ,    3, 1,  1,      0.00,1000.00, 19.27,0.0000,0.0000,  1,  2
dp   ,    3, 1,  2,    200.00,  39.14, 25.57,1.0000,0.0000,  1,  3
dp   ,    3, 1,  3,      0.00,  55.39, 55.39,0.0000,0.0000,  1,  4
dp   ,    3, 1,  4,      0.00,  41.51, 27.94,0.0000,0.0000,  2,  3
dp   ,    3, 1,  5,    150.00,  35.82, 35.82,1.0000,0.0000,  2,  4
dp   ,    3, 1,  6,    200.00,  13.57, 13.57,1.0000,0.0000,  3,  4
dp   ,    4, 1,  1,      0.00,  46.13, 19.27,0.0000,0.0000,  1,  2
dp   ,    4, 1,  2,    200.00,  44.27, 25.57,1.0000,0.0000,  1,  3
dp   ,    4, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,    4, 1,  4,      0.00,1000.00, 21.93,0.0000,0.0000,  2,  3
dp   ,    4, 1,  5,    150.00,  26.86, 26.86,1.0000,0.0000,  2,  4
dp   ,    4, 1,  6,    200.00,  18.70, 18.70,1.0000,0.0000,  3,  4
dp   ,    5, 1,  1,      0.00,  46.13, 19.27,0.0000,0.0000,  1,  2
dp   ,    5, 1,  2,    200.00,  41.22, 25.57,1.0000,0.0000,  1,  3
dp   ,    5, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
dp   ,    5, 1,  4,      0.00,1000.00, 21.93,0.0000,0.0000,  2,  3
dp   ,    5, 1,  5,    150.00,  26.86, 26.86,1.0000,0.0000,  2,  4
dp   ,    5, 1,  6,    200.00,  15.65, 15.65,1.0000,0.0000,  3,  4
dp   ,    6, 1,  1,      0.00,  46.13, 19.27,0.0000,0.0000,  1,  2
dp   ,    6, 1,  2,    200.00,  39.69, 25.57,1.0000,0.0000,  1,  3
dp   ,    6, 1,  3,      0.00,1000.00, 55.39,0.0000,0.0000,  1,  4
