case,i,anode,dest,x,y,ndest,maxdif
    0,    2,    1,    1,200.00, 45.09, 38.50,  6.59
    0,    5,    2,    1, 62.26, 49.43, 47.64,  1.78
    0,    5,    2,    1, 38.84, 49.16, 47.64,  1.52
    0,    5,    2,    1, 32.24, 49.09, 47.64,  1.45
    0,    5,    2,    1, 26.33, 49.03, 47.64,  1.38
    0,    5,    2,    1,  8.16, 48.82, 47.64,  1.18
    0,    5,    2,    1,  3.04, 48.77, 47.64,  1.12
    1,    1,    1,    1,200.00, 56.93, 44.54, 12.39
    4,    1,    1,    1,200.00, 47.05, 44.27,  2.78
    5,    1,    1,    1,200.00, 47.05, 41.22,  5.83
    6,    1,    1,    1,200.00, 47.05, 39.69,  7.36
    8,    1,    1,    1,200.00, 43.76, 41.54,  2.22
   10,    1,    1,    1,200.00, 50.45, 38.05, 12.39
   13,    1,    1,    1,200.00, 40.57, 37.79,  2.78
   14,    1,    1,    1,200.00, 40.57, 34.73,  5.83
   16,    1,    1,    1,200.00, 48.28, 35.89, 12.39
   18,    1,    1,    1,200.00, 38.40, 35.62,  2.78
   19,    1,    1,    1,200.00, 56.93, 44.54, 12.39
   19,    3,    1,    1,200.00, 43.44, 42.63,  0.81
   19,    3,    1,    1,186.55, 43.34, 42.75,  0.58
   19,    3,    1,    1,183.37, 43.31, 42.78,  0.53
   19,    3,    1,    1,180.52, 43.29, 42.81,  0.48
   19,    3,    1,    1,177.90, 43.27, 42.84,  0.44
   19,    3,    1,    1,175.56, 43.26, 42.86,  0.40
   19,    3,    1,    1,173.39, 43.24, 42.88,  0.36
   19,    3,    1,    1,171.46, 43.23, 42.90,  0.33
   19,    3,    1,    1,169.68, 43.21, 42.92,  0.30
   19,    3,    1,    1,168.09, 43.20, 42.93,  0.27
   19,    3,    1,    1,166.62, 43.19, 42.95,  0.24
   19,    3,    1,    1,165.31, 43.18, 42.96,  0.22
   19,    3,    1,    1,164.10, 43.17, 42.97,  0.20
   19,    3,    1,    1,163.02, 43.16, 42.98,  0.18
   19,    3,    1,    1,162.02, 43.15, 42.99,  0.17
   19,    3,    1,    1,161.13, 43.15, 43.00,  0.15
   19,    3,    1,    1,160.31, 43.14, 43.01,  0.14
