 case,origin,dest,demand,y,flow
  1, 1,  4,150.0000, 21.0941,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2641,  1.0000
  1, 1,  4,150.0000, 21.2641,  1.0000
  1, 1,  4,150.0000, 21.2641,  1.0000
  1, 1,  4,150.0000, 21.2503,  1.0000
  1, 1,  4,150.0000, 21.2503,  1.0000
  1, 1,  4,150.0000, 21.2503,  1.0000
  1, 1,  4,150.0000, 21.2411,  1.0000
  1, 1,  4,150.0000, 21.2411,  1.0000
  1, 1,  4,150.0000, 21.2411,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.1894,  1.0000
  1, 1,  4,150.0000, 21.1894,  1.0000
  1, 1,  4,150.0000, 21.1894,  1.0000
  1, 1,  4,150.0000, 21.1664,  1.0000
  1, 1,  4,150.0000, 21.1664,  1.0000
  1, 1,  4,150.0000, 21.1664,  1.0000
  1, 1,  4,150.0000, 21.1526,  1.0000
  1, 1,  4,150.0000, 21.1526,  1.0000
  1, 1,  4,150.0000, 21.1526,  1.0000
  1, 1,  4,150.0000, 21.1434,  1.0000
  1, 1,  4,150.0000, 21.1434,  1.0000
  1, 1,  4,150.0000, 21.2030,  1.0000
  1, 1,  4,150.0000, 21.2030,  1.0000
  1, 1,  4,150.0000, 21.2030,  1.0000
  1, 1,  4,150.0000, 21.1569,  1.0000
  1, 1,  4,150.0000, 21.1569,  1.0000
  1, 1,  4,150.0000, 21.1569,  1.0000
  1, 1,  4,150.0000, 21.1339,  1.0000
  1, 1,  4,150.0000, 21.1339,  1.0000
  1, 1,  4,150.0000, 21.1339,  1.0000
  1, 1,  4,150.0000, 21.1201,  1.0000
  1, 1,  4,150.0000, 21.1201,  1.0000
  1, 1,  4,150.0000, 21.1109,  1.0000
  1, 1,  4,150.0000, 21.1868,  1.0000
  1, 1,  4,150.0000, 21.1868,  1.0000
  1, 1,  4,150.0000, 21.1868,  1.0000
  1, 1,  4,150.0000, 21.1407,  1.0000
  1, 1,  4,150.0000, 21.1407,  1.0000
  1, 1,  4,150.0000, 21.1407,  1.0000
  1, 1,  4,150.0000, 21.1177,  1.0000
  1, 1,  4,150.0000, 21.1177,  1.0000
  1, 1,  4,150.0000, 21.1039,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2641,  1.0000
  1, 1,  4,150.0000, 21.2641,  1.0000
  1, 1,  4,150.0000, 21.2641,  1.0000
  1, 1,  4,150.0000, 21.2503,  1.0000
  1, 1,  4,150.0000, 21.2503,  1.0000
  1, 1,  4,150.0000, 21.2503,  1.0000
  1, 1,  4,150.0000, 21.2411,  1.0000
  1, 1,  4,150.0000, 21.2411,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.1894,  1.0000
  1, 1,  4,150.0000, 21.1894,  1.0000
  1, 1,  4,150.0000, 21.1894,  1.0000
  1, 1,  4,150.0000, 21.1664,  1.0000
  1, 1,  4,150.0000, 21.1664,  1.0000
  1, 1,  4,150.0000, 21.1664,  1.0000
  1, 1,  4,150.0000, 21.1526,  1.0000
  1, 1,  4,150.0000, 21.1526,  1.0000
  1, 1,  4,150.0000, 21.1434,  1.0000
  1, 1,  4,150.0000, 21.2030,  1.0000
  1, 1,  4,150.0000, 21.2030,  1.0000
  1, 1,  4,150.0000, 21.2030,  1.0000
  1, 1,  4,150.0000, 21.1569,  1.0000
  1, 1,  4,150.0000, 21.1569,  1.0000
  1, 1,  4,150.0000, 21.1569,  1.0000
  1, 1,  4,150.0000, 21.1339,  1.0000
  1, 1,  4,150.0000, 21.1339,  1.0000
  1, 1,  4,150.0000, 21.1201,  1.0000
  1, 1,  4,150.0000, 21.1868,  1.0000
  1, 1,  4,150.0000, 21.1868,  1.0000
  1, 1,  4,150.0000, 21.1868,  1.0000
  1, 1,  4,150.0000, 21.1407,  1.0000
  1, 1,  4,150.0000, 21.1407,  1.0000
  1, 1,  4,150.0000, 21.1177,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2641,  1.0000
  1, 1,  4,150.0000, 21.2641,  1.0000
  1, 1,  4,150.0000, 21.2641,  1.0000
  1, 1,  4,150.0000, 21.2503,  1.0000
  1, 1,  4,150.0000, 21.2503,  1.0000
  1, 1,  4,150.0000, 21.2411,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.1894,  1.0000
  1, 1,  4,150.0000, 21.1894,  1.0000
  1, 1,  4,150.0000, 21.1894,  1.0000
  1, 1,  4,150.0000, 21.1664,  1.0000
  1, 1,  4,150.0000, 21.1664,  1.0000
  1, 1,  4,150.0000, 21.1526,  1.0000
  1, 1,  4,150.0000, 21.2030,  1.0000
  1, 1,  4,150.0000, 21.2030,  1.0000
  1, 1,  4,150.0000, 21.2030,  1.0000
  1, 1,  4,150.0000, 21.1569,  1.0000
  1, 1,  4,150.0000, 21.1569,  1.0000
  1, 1,  4,150.0000, 21.1339,  1.0000
  1, 1,  4,150.0000, 21.1868,  1.0000
  1, 1,  4,150.0000, 21.1868,  1.0000
  1, 1,  4,150.0000, 21.1407,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2641,  1.0000
  1, 1,  4,150.0000, 21.2641,  1.0000
  1, 1,  4,150.0000, 21.2503,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.1894,  1.0000
  1, 1,  4,150.0000, 21.1894,  1.0000
  1, 1,  4,150.0000, 21.1664,  1.0000
  1, 1,  4,150.0000, 21.2030,  1.0000
  1, 1,  4,150.0000, 21.2030,  1.0000
  1, 1,  4,150.0000, 21.1569,  1.0000
  1, 1,  4,150.0000, 21.1868,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2641,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.1894,  1.0000
  1, 1,  4,150.0000, 21.2030,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
  1, 1,  4,150.0000, 21.2871,  1.0000
  1, 1,  4,150.0000, 21.2355,  1.0000
  1, 1,  4,150.0000, 21.3332,  1.0000
