 SeedNum,Iter,SolId,LineId,Fleet,TTC,Fare,OpCost
   1,     1,   1,   1,   4,     402901.62,      0.00,   1833.33
   1,     1,   1,   2,   4,     402901.62,      0.00,   1833.33
   1,     1,   1,   3,   4,     402901.62,      0.00,   1833.33
   1,     1,   1,   4,   1,     402901.62,      0.00,   1833.33
   1,     1,   1,   5,   4,     402901.62,      0.00,   1833.33
   1,     1,   1,   6,   3,     402901.62,      0.00,   1833.33
   1,     1,   1,   7,   3,     402901.62,      0.00,   1833.33
   1,     1,   1,   8,   4,     402901.62,      0.00,   1833.33
   1,     1,   1,   9,   6,     402901.62,      0.00,   1833.33
   1,     1,   1,  10,   8,     402901.62,      0.00,   1833.33
   1,     1,   1,  11,   6,     402901.62,      0.00,   1833.33
   1,     1,   1,  12,   3,     402901.62,      0.00,   1833.33
   1,     1,   1,  13,   6,     402901.62,      0.00,   1833.33
   1,     1,   1,  14,   4,     402901.62,      0.00,   1833.33
   1,     1,   1,  15,   3,     402901.62,      0.00,   1833.33
   1,     1,   1,  16,   3,     402901.62,      0.00,   1833.33
   1,     1,   1,  17,   5,     402901.62,      0.00,   1833.33
   1,     1,   1,  18,   4,     402901.62,      0.00,   1833.33
   1,     1,   1,  19,   2,     402901.62,      0.00,   1833.33
   1,     1,   1,  20,   3,     402901.62,      0.00,   1833.33
   1,     1,   2,   1,   3,     284602.32,      0.08,   4023.05
   1,     1,   2,   2,   3,     284602.32,      0.08,   4023.05
   1,     1,   2,   3,   4,     284602.32,      0.08,   4023.05
   1,     1,   2,   4,   4,     284602.32,      0.08,   4023.05
   1,     1,   2,   5,   4,     284602.32,      0.08,   4023.05
   1,     1,   2,   6,   4,     284602.32,      0.08,   4023.05
   1,     1,   2,   7,   3,     284602.32,      0.08,   4023.05
   1,     1,   2,   8,   4,     284602.32,      0.08,   4023.05
   1,     1,   2,   9,   2,     284602.32,      0.08,   4023.05
   1,     1,   2,  10,   6,     284602.32,      0.08,   4023.05
   1,     1,   2,  11,   6,     284602.32,      0.08,   4023.05
   1,     1,   2,  12,   6,     284602.32,      0.08,   4023.05
   1,     1,   2,  13,   6,     284602.32,      0.08,   4023.05
   1,     1,   2,  14,   1,     284602.32,      0.08,   4023.05
   1,     1,   2,  15,   6,     284602.32,      0.08,   4023.05
   1,     1,   2,  16,   4,     284602.32,      0.08,   4023.05
   1,     1,   2,  17,   2,     284602.32,      0.08,   4023.05
   1,     1,   2,  18,   4,     284602.32,      0.08,   4023.05
   1,     1,   2,  19,   4,     284602.32,      0.08,   4023.05
   1,     1,   2,  20,   4,     284602.32,      0.08,   4023.05
   1,     1,   3,   1,   4,     286067.71,     -0.04,   3856.77
   1,     1,   3,   2,   4,     286067.71,     -0.04,   3856.77
   1,     1,   3,   3,   4,     286067.71,     -0.04,   3856.77
