case,i,anode,dest,x,y,ndest,maxdif
    0,    2,    1,    1,200.00, 69.39, 38.50, 30.89
    0,    5,    2,    1,150.00, 54.15, 49.63,  4.52
    0,    5,    2,    1,138.65, 53.69, 49.63,  4.06
    0,    5,    2,    1,128.71, 53.29, 49.63,  3.67
    0,    5,    2,    1,119.51, 52.94, 49.63,  3.32
    0,    5,    2,    1,111.42, 52.65, 49.63,  3.02
    0,    5,    2,    1,103.84, 52.37, 49.63,  2.75
    0,    5,    2,    1, 97.16, 52.14, 49.63,  2.52
    0,    5,    2,    1, 90.85, 51.93, 49.63,  2.30
    0,    5,    2,    1, 85.27, 51.74, 49.63,  2.12
    0,    5,    2,    1, 79.95, 51.57, 49.63,  1.95
    0,    5,    2,    1, 75.25, 51.42, 49.63,  1.80
    0,    5,    2,    1, 70.74, 51.28, 49.63,  1.66
    0,    5,    2,    1, 66.74, 51.16, 49.63,  1.54
    0,    5,    2,    1, 62.89, 51.05, 49.63,  1.42
    0,    5,    2,    1, 59.46, 50.95, 49.63,  1.32
    0,    5,    2,    1, 56.15, 50.85, 49.63,  1.23
    0,    5,    2,    1, 53.20, 50.77, 49.63,  1.14
    0,    5,    2,    1, 50.34, 50.69, 49.63,  1.06
    0,    5,    2,    1, 47.79, 50.62, 49.63,  0.99
    0,    5,    2,    1, 40.26, 50.41, 49.63,  0.79
    0,    5,    2,    1, 38.28, 50.36, 49.63,  0.74
    0,    5,    2,    1, 36.52, 50.32, 49.63,  0.69
    0,    5,    2,    1, 31.27, 50.18, 49.63,  0.56
    0,    5,    2,    1, 29.88, 50.15, 49.63,  0.52
    0,    5,    2,    1, 28.63, 50.12, 49.63,  0.49
    0,    5,    2,    1, 24.91, 50.02, 49.63,  0.40
    0,    5,    2,    1, 23.91, 50.00, 49.63,  0.37
    0,    5,    2,    1, 23.01, 49.98, 49.63,  0.35
    0,    5,    2,    1, 20.33, 49.91, 49.63,  0.29
    0,    5,    2,    1, 19.61, 49.90, 49.63,  0.27
    0,    5,    2,    1, 18.96, 49.88, 49.63,  0.26
    0,    5,    2,    1, 17.01, 49.84, 49.63,  0.21
    0,    5,    2,    1, 16.48, 49.82, 49.63,  0.20
    0,    5,    2,    1, 16.00, 49.81, 49.63,  0.19
    0,    5,    2,    1, 14.58, 49.78, 49.63,  0.16
    0,    5,    2,    1, 14.19, 49.77, 49.63,  0.15
    0,    5,    2,    1, 13.84, 49.76, 49.63,  0.14
    0,    5,    2,    1, 12.79, 49.74, 49.63,  0.11
    0,    5,    2,    1, 12.50, 49.73, 49.63,  0.11
    0,    5,    2,    1, 12.24, 49.73, 49.63,  0.10
    0,    5,    2,    1, 11.47, 49.71, 49.63,  0.08
    0,    5,    2,    1, 11.25, 49.71, 49.63,  0.08
    0,    5,    2,    1, 11.06, 49.70, 49.63,  0.08
    0,    5,    2,    1, 10.49, 49.69, 49.63,  0.06
    0,    5,    2,    1, 10.33, 49.69, 49.63,  0.06
    0,    5,    2,    1, 10.19, 49.68, 49.63,  0.06
    0,    5,    2,    1,  9.76, 49.67, 49.63,  0.05
    0,    5,    2,    1,  9.64, 49.67, 49.63,  0.04
    0,    5,    2,    1,  9.54, 49.67, 49.63,  0.04
    0,    5,    2,    1,  9.22, 49.66, 49.63,  0.03
    0,    5,    2,    1,  9.13, 49.66, 49.63,  0.03
    0,    5,    2,    1,  9.06, 49.66, 49.63,  0.03
    0,    5,    2,    1,  8.82, 49.65, 49.63,  0.03
    0,    5,    2,    1,  8.76, 49.65, 49.63,  0.02
    0,    5,    2,    1,  8.70, 49.65, 49.63,  0.02
    0,    5,    2,    1,  8.52, 49.65, 49.63,  0.02
    0,    5,    2,    1,  8.47, 49.64, 49.63,  0.02
    0,    5,    2,    1,  8.43, 49.64, 49.63,  0.02
    0,    5,    2,    1,  8.30, 49.64, 49.63,  0.01
    0,    5,    2,    1,  8.26, 49.64, 49.63,  0.01
    0,    5,    2,    1,  8.23, 49.64, 49.63,  0.01
    0,    5,    2,    1,  8.13, 49.64, 49.63,  0.01
    0,    5,    2,    1,  8.10, 49.64, 49.63,  0.01
    0,    5,    2,    1,  8.08, 49.64, 49.63,  0.01
    1,    2,    1,    1,200.00, 69.13, 38.50, 30.63
    1,    5,    2,    1,150.00, 54.15, 49.61,  4.54
    1,    5,    2,    1,138.51, 53.68, 49.61,  4.07
    1,    5,    2,    1,128.46, 53.28, 49.61,  3.68
    1,    5,    2,    1,119.16, 52.93, 49.61,  3.32
    1,    5,    2,    1,111.00, 52.63, 49.61,  3.02
    1,    5,    2,    1,103.36, 52.35, 49.61,  2.75
    1,    5,    2,    1, 96.63, 52.12, 49.61,  2.51
    1,    5,    2,    1, 90.27, 51.90, 49.61,  2.30
    1,    5,    2,    1, 84.66, 51.72, 49.61,  2.11
    1,    5,    2,    1, 79.32, 51.55, 49.61,  1.94
    1,    5,    2,    1, 74.59, 51.40, 49.61,  1.79
    1,    5,    2,    1, 70.06, 51.26, 49.61,  1.65
    1,    5,    2,    1, 66.05, 51.14, 49.61,  1.53
    1,    5,    2,    1, 62.19, 51.02, 49.61,  1.41
    1,    5,    2,    1, 58.76, 50.92, 49.61,  1.31
    1,    5,    2,    1, 55.44, 50.82, 49.61,  1.22
    1,    5,    2,    1, 52.49, 50.74, 49.61,  1.13
    1,    5,    2,    1, 49.62, 50.66, 49.61,  1.05
    1,    5,    2,    1, 47.07, 50.59, 49.61,  0.98
    1,    5,    2,    1, 39.54, 50.39, 49.61,  0.78
    1,    5,    2,    1, 37.56, 50.34, 49.61,  0.73
    1,    5,    2,    1, 35.81, 50.29, 49.61,  0.68
    1,    5,    2,    1, 30.57, 50.16, 49.61,  0.55
    1,    5,    2,    1, 29.18, 50.12, 49.61,  0.52
    1,    5,    2,    1, 27.94, 50.09, 49.61,  0.48
    1,    5,    2,    1, 24.23, 50.00, 49.61,  0.39
    1,    5,    2,    1, 23.23, 49.98, 49.61,  0.37
    1,    5,    2,    1, 22.34, 49.96, 49.61,  0.35
    1,    5,    2,    1, 19.68, 49.89, 49.61,  0.28
    1,    5,    2,    1, 18.96, 49.87, 49.61,  0.27
    1,    5,    2,    1, 18.31, 49.86, 49.61,  0.25
    1,    5,    2,    1, 16.38, 49.81, 49.61,  0.21
    1,    5,    2,    1, 15.85, 49.80, 49.61,  0.20
    1,    5,    2,    1, 15.38, 49.79, 49.61,  0.18
    1,    5,    2,    1, 13.97, 49.76, 49.61,  0.15
    1,    5,    2,    1, 13.58, 49.75, 49.61,  0.14
    1,    5,    2,    1, 13.24, 49.74, 49.61,  0.14
    1,    5,    2,    1, 12.20, 49.72, 49.61,  0.11
    1,    5,    2,    1, 11.91, 49.71, 49.61,  0.11
    1,    5,    2,    1, 11.66, 49.71, 49.61,  0.10
    1,    5,    2,    1, 10.89, 49.69, 49.61,  0.08
    1,    5,    2,    1, 10.68, 49.69, 49.61,  0.08
    1,    5,    2,    1, 10.49, 49.68, 49.61,  0.07
    1,    5,    2,    1,  9.92, 49.67, 49.61,  0.06
    1,    5,    2,    1,  9.77, 49.66, 49.61,  0.06
    1,    5,    2,    1,  9.63, 49.66, 49.61,  0.05
    1,    5,    2,    1,  9.21, 49.65, 49.61,  0.05
    1,    5,    2,    1,  9.09, 49.65, 49.61,  0.04
    1,    5,    2,    1,  8.99, 49.65, 49.61,  0.04
    1,    5,    2,    1,  8.68, 49.64, 49.61,  0.03
    1,    5,    2,    1,  8.59, 49.64, 49.61,  0.03
    1,    5,    2,    1,  8.52, 49.64, 49.61,  0.03
    1,    5,    2,    1,  8.28, 49.63, 49.61,  0.03
    1,    5,    2,    1,  8.22, 49.63, 49.61,  0.02
    1,    5,    2,    1,  8.16, 49.63, 49.61,  0.02
    1,    5,    2,    1,  7.99, 49.63, 49.61,  0.02
    1,    5,    2,    1,  7.94, 49.62, 49.61,  0.02
    1,    5,    2,    1,  7.90, 49.62, 49.61,  0.02
    1,    5,    2,    1,  7.77, 49.62, 49.61,  0.01
    1,    5,    2,    1,  7.74, 49.62, 49.61,  0.01
    1,    5,    2,    1,  7.71, 49.62, 49.61,  0.01
    1,    5,    2,    1,  7.61, 49.62, 49.61,  0.01
