method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   ,    0, 1,  1,      0.00,1000.00, 36.30,0.0000,0.0000,  1,  2
dp   ,    0, 1,  2,      0.00,  57.71, 42.60,0.0000,0.0000,  1,  3
dp   ,    0, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,    0, 1,  4,    141.92,  49.63, 34.51,0.9461,0.0000,  2,  3
dp   ,    0, 1,  5,      8.08,  49.64, 49.64,0.0539,0.0000,  2,  4
dp   ,    0, 1,  6,    141.92,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,    1, 1,  1,      0.00,1000.00, 36.15,0.0000,0.0000,  1,  2
dp   ,    1, 1,  2,      0.00,  57.56, 42.45,0.0000,0.0000,  1,  3
dp   ,    1, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,    1, 1,  4,    142.44,  49.61, 34.49,0.9496,0.0000,  2,  3
dp   ,    1, 1,  5,      7.56,  49.62, 49.62,0.0504,0.0000,  2,  4
dp   ,    1, 1,  6,    142.44,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,    2, 1,  1,      0.00,1000.00, 36.00,0.0000,0.0000,  1,  2
dp   ,    2, 1,  2,      0.00,  57.42, 42.30,0.0000,0.0000,  1,  3
dp   ,    2, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,    2, 1,  4,    142.96,  49.59, 34.47,0.9531,0.0000,  2,  3
dp   ,    2, 1,  5,      7.04,  49.60, 49.60,0.0469,0.0000,  2,  4
dp   ,    2, 1,  6,    142.96,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,    3, 1,  1,      0.00,1000.00, 35.86,0.0000,0.0000,  1,  2
dp   ,    3, 1,  2,      0.00,  57.27, 42.16,0.0000,0.0000,  1,  3
dp   ,    3, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,    3, 1,  4,    143.48,  49.57, 34.46,0.9565,0.0000,  2,  3
dp   ,    3, 1,  5,      6.52,  49.58, 49.58,0.0435,0.0000,  2,  4
dp   ,    3, 1,  6,    143.48,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,    4, 1,  1,      0.00,1000.00, 35.71,0.0000,0.0000,  1,  2
dp   ,    4, 1,  2,      0.00,  57.13, 42.01,0.0000,0.0000,  1,  3
dp   ,    4, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,    4, 1,  4,    143.99,  49.55, 34.44,0.9600,0.0000,  2,  3
dp   ,    4, 1,  5,      6.01,  49.56, 49.56,0.0400,0.0000,  2,  4
dp   ,    4, 1,  6,    143.99,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,    5, 1,  1,      0.00,1000.00, 35.57,0.0000,0.0000,  1,  2
dp   ,    5, 1,  2,      0.00,  56.98, 41.87,0.0000,0.0000,  1,  3
dp   ,    5, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,    5, 1,  4,    144.43,  49.53, 34.42,0.9629,0.0000,  2,  3
dp   ,    5, 1,  5,      5.57,  49.54, 49.54,0.0371,0.0000,  2,  4
dp   ,    5, 1,  6,    144.43,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,    6, 1,  1,      0.00,1000.00, 35.43,0.0000,0.0000,  1,  2
dp   ,    6, 1,  2,      0.00,  56.84, 41.73,0.0000,0.0000,  1,  3
dp   ,    6, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,    6, 1,  4,    144.95,  49.51, 34.40,0.9663,0.0000,  2,  3
dp   ,    6, 1,  5,      5.05,  49.52, 49.52,0.0337,0.0000,  2,  4
dp   ,    6, 1,  6,    144.95,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,    7, 1,  1,      0.00,1000.00, 35.29,0.0000,0.0000,  1,  2
dp   ,    7, 1,  2,      0.00,  56.70, 41.59,0.0000,0.0000,  1,  3
dp   ,    7, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,    7, 1,  4,    145.46,  49.50, 34.38,0.9697,0.0000,  2,  3
dp   ,    7, 1,  5,      4.54,  49.51, 49.51,0.0303,0.0000,  2,  4
dp   ,    7, 1,  6,    145.46,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,    8, 1,  1,      0.00,1000.00, 35.15,0.0000,0.0000,  1,  2
dp   ,    8, 1,  2,      0.00,  56.56, 41.45,0.0000,0.0000,  1,  3
dp   ,    8, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,    8, 1,  4,    145.97,  49.48, 34.36,0.9731,0.0000,  2,  3
dp   ,    8, 1,  5,      4.03,  49.49, 49.49,0.0269,0.0000,  2,  4
dp   ,    8, 1,  6,    145.97,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,    9, 1,  1,      0.00,1000.00, 35.01,0.0000,0.0000,  1,  2
dp   ,    9, 1,  2,      0.00,  56.42, 41.31,0.0000,0.0000,  1,  3
dp   ,    9, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,    9, 1,  4,    146.48,  49.46, 34.35,0.9765,0.0000,  2,  3
dp   ,    9, 1,  5,      3.52,  49.47, 49.47,0.0235,0.0000,  2,  4
dp   ,    9, 1,  6,    146.48,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   10, 1,  1,      0.00,1000.00, 34.87,0.0000,0.0000,  1,  2
dp   ,   10, 1,  2,      0.00,  56.28, 41.17,0.0000,0.0000,  1,  3
dp   ,   10, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   10, 1,  4,    146.99,  49.44, 34.33,0.9799,0.0000,  2,  3
dp   ,   10, 1,  5,      3.01,  49.45, 49.45,0.0201,0.0000,  2,  4
dp   ,   10, 1,  6,    146.99,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   11, 1,  1,      0.00,1000.00, 34.74,0.0000,0.0000,  1,  2
dp   ,   11, 1,  2,      0.00,  56.15, 41.04,0.0000,0.0000,  1,  3
dp   ,   11, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   11, 1,  4,    147.50,  49.42, 34.31,0.9833,0.0000,  2,  3
dp   ,   11, 1,  5,      2.50,  49.43, 49.43,0.0167,0.0000,  2,  4
dp   ,   11, 1,  6,    147.50,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   12, 1,  1,      0.00,1000.00, 34.60,0.0000,0.0000,  1,  2
dp   ,   12, 1,  2,      0.00,  56.02, 40.90,0.0000,0.0000,  1,  3
dp   ,   12, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   12, 1,  4,    147.93,  49.41, 34.29,0.9862,0.0000,  2,  3
dp   ,   12, 1,  5,      2.07,  49.42, 49.42,0.0138,0.0000,  2,  4
dp   ,   12, 1,  6,    147.93,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   13, 1,  1,      0.00,1000.00, 34.47,0.0000,0.0000,  1,  2
dp   ,   13, 1,  2,      0.00,  55.88, 40.77,0.0000,0.0000,  1,  3
dp   ,   13, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   13, 1,  4,    148.43,  49.39, 34.28,0.9896,0.0000,  2,  3
dp   ,   13, 1,  5,      1.57,  49.40, 49.40,0.0104,0.0000,  2,  4
dp   ,   13, 1,  6,    148.43,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   14, 1,  1,      0.00,1000.00, 34.34,0.0000,0.0000,  1,  2
dp   ,   14, 1,  2,      0.00,  55.75, 40.64,0.0000,0.0000,  1,  3
dp   ,   14, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   14, 1,  4,    148.94,  49.37, 34.26,0.9929,0.0000,  2,  3
dp   ,   14, 1,  5,      1.06,  49.38, 49.38,0.0071,0.0000,  2,  4
dp   ,   14, 1,  6,    148.94,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   15, 1,  1,      0.00,1000.00, 34.21,0.0000,0.0000,  1,  2
dp   ,   15, 1,  2,      0.00,  55.62, 40.51,0.0000,0.0000,  1,  3
dp   ,   15, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   15, 1,  4,    149.45,  49.35, 34.24,0.9963,0.0000,  2,  3
dp   ,   15, 1,  5,      0.55,  49.36, 49.36,0.0037,0.0000,  2,  4
dp   ,   15, 1,  6,    149.45,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   16, 1,  1,      0.00,1000.00, 34.08,0.0000,0.0000,  1,  2
dp   ,   16, 1,  2,      0.00,  55.49, 40.38,0.0000,0.0000,  1,  3
dp   ,   16, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   16, 1,  4,    149.95,  49.34, 34.22,0.9997,0.0000,  2,  3
dp   ,   16, 1,  5,      0.05,  49.35, 49.35,0.0003,0.0000,  2,  4
dp   ,   16, 1,  6,    149.95,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   17, 1,  1,      0.00,1000.00, 33.95,0.0000,0.0000,  1,  2
dp   ,   17, 1,  2,      0.00,  55.36, 40.25,0.0000,0.0000,  1,  3
dp   ,   17, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   17, 1,  4,    149.92,  49.32, 34.21,0.9994,0.0000,  2,  3
dp   ,   17, 1,  5,      0.08,  49.34, 49.34,0.0006,0.0000,  2,  4
dp   ,   17, 1,  6,    149.92,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   18, 1,  1,      0.00,1000.00, 33.82,0.0000,0.0000,  1,  2
dp   ,   18, 1,  2,      0.00,  55.24, 40.12,0.0000,0.0000,  1,  3
dp   ,   18, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   18, 1,  4,    150.00,  49.30, 34.19,1.0000,0.0000,  2,  3
dp   ,   18, 1,  5,      0.00,  49.33, 49.33,0.0000,0.0000,  2,  4
dp   ,   18, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   19, 1,  1,      0.00,1000.00, 33.70,0.0000,0.0000,  1,  2
dp   ,   19, 1,  2,      0.00,  55.11, 40.00,0.0000,0.0000,  1,  3
dp   ,   19, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   19, 1,  4,    150.00,  49.29, 34.17,1.0000,0.0000,  2,  3
dp   ,   19, 1,  5,      0.00,  49.32, 49.32,0.0000,0.0000,  2,  4
dp   ,   19, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   20, 1,  1,      0.00,1000.00, 33.57,0.0000,0.0000,  1,  2
dp   ,   20, 1,  2,      0.00,  54.99, 39.87,0.0000,0.0000,  1,  3
dp   ,   20, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   20, 1,  4,    149.98,  49.27, 34.16,0.9999,0.0000,  2,  3
dp   ,   20, 1,  5,      0.02,  49.32, 49.32,0.0001,0.0000,  2,  4
dp   ,   20, 1,  6,    149.98,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   21, 1,  1,      0.00,1000.00, 33.45,0.0000,0.0000,  1,  2
dp   ,   21, 1,  2,      0.00,  54.86, 39.75,0.0000,0.0000,  1,  3
dp   ,   21, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   21, 1,  4,    149.98,  49.25, 34.14,0.9999,0.0000,  2,  3
dp   ,   21, 1,  5,      0.02,  49.31, 49.31,0.0001,0.0000,  2,  4
dp   ,   21, 1,  6,    149.98,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   22, 1,  1,      0.00,1000.00, 33.33,0.0000,0.0000,  1,  2
dp   ,   22, 1,  2,      0.00,  54.74, 39.63,0.0000,0.0000,  1,  3
dp   ,   22, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   22, 1,  4,    150.00,  49.24, 34.12,1.0000,0.0000,  2,  3
dp   ,   22, 1,  5,      0.00,  49.30, 49.30,0.0000,0.0000,  2,  4
dp   ,   22, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   23, 1,  1,      0.00,1000.00, 33.21,0.0000,0.0000,  1,  2
dp   ,   23, 1,  2,      0.00,  54.62, 39.51,0.0000,0.0000,  1,  3
dp   ,   23, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   23, 1,  4,    149.95,  49.22, 34.11,0.9997,0.0000,  2,  3
dp   ,   23, 1,  5,      0.05,  49.30, 49.30,0.0003,0.0000,  2,  4
dp   ,   23, 1,  6,    149.95,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   24, 1,  1,      0.00,1000.00, 33.09,0.0000,0.0000,  1,  2
dp   ,   24, 1,  2,      0.00,  54.50, 39.39,0.0000,0.0000,  1,  3
dp   ,   24, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   24, 1,  4,    150.00,  49.20, 34.09,1.0000,0.0000,  2,  3
dp   ,   24, 1,  5,      0.00,  49.29, 49.29,0.0000,0.0000,  2,  4
dp   ,   24, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   25, 1,  1,      0.00,1000.00, 32.97,0.0000,0.0000,  1,  2
dp   ,   25, 1,  2,      0.00,  54.38, 39.27,0.0000,0.0000,  1,  3
dp   ,   25, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   25, 1,  4,    150.00,  49.19, 34.07,1.0000,0.0000,  2,  3
dp   ,   25, 1,  5,      0.00,  49.28, 49.28,0.0000,0.0000,  2,  4
dp   ,   25, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   26, 1,  1,      0.00,1000.00, 32.85,0.0000,0.0000,  1,  2
dp   ,   26, 1,  2,      0.00,  54.26, 39.15,0.0000,0.0000,  1,  3
dp   ,   26, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   26, 1,  4,    150.00,  49.17, 34.06,1.0000,0.0000,  2,  3
dp   ,   26, 1,  5,      0.00,  49.28, 49.28,0.0000,0.0000,  2,  4
dp   ,   26, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   27, 1,  1,      0.00,1000.00, 32.73,0.0000,0.0000,  1,  2
dp   ,   27, 1,  2,      0.00,  54.14, 39.03,0.0000,0.0000,  1,  3
dp   ,   27, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   27, 1,  4,    150.00,  49.15, 34.04,1.0000,0.0000,  2,  3
dp   ,   27, 1,  5,      0.00,  49.27, 49.27,0.0000,0.0000,  2,  4
dp   ,   27, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   28, 1,  1,      0.00,1000.00, 32.62,0.0000,0.0000,  1,  2
dp   ,   28, 1,  2,      0.00,  54.03, 38.92,0.0000,0.0000,  1,  3
dp   ,   28, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   28, 1,  4,    149.97,  49.14, 34.02,0.9998,0.0000,  2,  3
dp   ,   28, 1,  5,      0.03,  49.27, 49.27,0.0002,0.0000,  2,  4
dp   ,   28, 1,  6,    149.97,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   29, 1,  1,      0.00,1000.00, 32.50,0.0000,0.0000,  1,  2
dp   ,   29, 1,  2,      0.00,  53.91, 38.80,0.0000,0.0000,  1,  3
dp   ,   29, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   29, 1,  4,    150.00,  49.12, 34.01,1.0000,0.0000,  2,  3
dp   ,   29, 1,  5,      0.00,  49.26, 49.26,0.0000,0.0000,  2,  4
dp   ,   29, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   30, 1,  1,      0.00,1000.00, 32.39,0.0000,0.0000,  1,  2
dp   ,   30, 1,  2,      0.00,  53.80, 38.69,0.0000,0.0000,  1,  3
dp   ,   30, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   30, 1,  4,    150.00,  49.10, 33.99,1.0000,0.0000,  2,  3
dp   ,   30, 1,  5,      0.00,  49.25, 49.25,0.0000,0.0000,  2,  4
dp   ,   30, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   31, 1,  1,      0.00,1000.00, 32.27,0.0000,0.0000,  1,  2
dp   ,   31, 1,  2,      0.00,  53.69, 38.57,0.0000,0.0000,  1,  3
dp   ,   31, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   31, 1,  4,    150.00,  49.09, 33.98,1.0000,0.0000,  2,  3
dp   ,   31, 1,  5,      0.00,  49.25, 49.25,0.0000,0.0000,  2,  4
dp   ,   31, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   32, 1,  1,      0.00,1000.00, 32.16,0.0000,0.0000,  1,  2
dp   ,   32, 1,  2,      0.00,  53.58, 38.46,0.0000,0.0000,  1,  3
dp   ,   32, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   32, 1,  4,    150.00,  49.07, 33.96,1.0000,0.0000,  2,  3
dp   ,   32, 1,  5,      0.00,  49.24, 49.24,0.0000,0.0000,  2,  4
dp   ,   32, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
dp   ,   33, 1,  1,      0.00,1000.00, 32.05,0.0000,0.0000,  1,  2
dp   ,   33, 1,  2,      0.00,  53.46, 38.35,0.0000,0.0000,  1,  3
dp   ,   33, 1,  3,    200.00,  39.73, 39.73,1.0000,0.0000,  1,  4
dp   ,   33, 1,  4,    150.00,  49.06, 33.94,1.0000,0.0000,  2,  3
dp   ,   33, 1,  5,      0.00,  49.23, 49.23,0.0000,0.0000,  2,  4
dp   ,   33, 1,  6,    150.00,  15.11, 15.11,1.0000,0.0000,  3,  4
