case,origin,dest,demand,y,flow
    0, 1,  4,200.0000, 39.7346,200.0000
    0, 2,  4,150.0000, 49.6258,141.9193
    1, 1,  4,200.0000, 39.7346,200.0000
    1, 2,  4,150.0000, 49.6069,142.4404
    2, 1,  4,200.0000, 39.7346,200.0000
    2, 2,  4,150.0000, 49.5881,142.9595
    3, 1,  4,200.0000, 39.7346,200.0000
    3, 2,  4,150.0000, 49.5695,143.4773
    4, 1,  4,200.0000, 39.7346,200.0000
    4, 2,  4,150.0000, 49.5509,143.9936
    5, 1,  4,200.0000, 39.7346,200.0000
    5, 2,  4,150.0000, 49.5325,144.4300
    6, 1,  4,200.0000, 39.7346,200.0000
    6, 2,  4,150.0000, 49.5142,144.9451
    7, 1,  4,200.0000, 39.7346,200.0000
    7, 2,  4,150.0000, 49.4959,145.4584
    8, 1,  4,200.0000, 39.7346,200.0000
    8, 2,  4,150.0000, 49.4778,145.9707
    9, 1,  4,200.0000, 39.7346,200.0000
    9, 2,  4,150.0000, 49.4598,146.4818
   10, 1,  4,200.0000, 39.7346,200.0000
   10, 2,  4,150.0000, 49.4419,146.9917
   11, 1,  4,200.0000, 39.7346,200.0000
   11, 2,  4,150.0000, 49.4241,147.5004
   12, 1,  4,200.0000, 39.7346,200.0000
   12, 2,  4,150.0000, 49.4065,147.9257
   13, 1,  4,200.0000, 39.7346,200.0000
   13, 2,  4,150.0000, 49.3889,148.4340
   14, 1,  4,200.0000, 39.7346,200.0000
   14, 2,  4,150.0000, 49.3714,148.9412
   15, 1,  4,200.0000, 39.7346,200.0000
   15, 2,  4,150.0000, 49.3540,149.4476
   16, 1,  4,200.0000, 39.7346,200.0000
   16, 2,  4,150.0000, 49.3367,149.9530
   17, 1,  4,200.0000, 39.7346,200.0000
   17, 2,  4,150.0000, 49.3195,149.9167
   18, 1,  4,200.0000, 39.7346,200.0000
   18, 2,  4,150.0000, 49.3025,150.0000
   19, 1,  4,200.0000, 39.7346,200.0000
   19, 2,  4,150.0000, 49.2855,150.0000
   20, 1,  4,200.0000, 39.7346,200.0000
   20, 2,  4,150.0000, 49.2686,149.9788
   21, 1,  4,200.0000, 39.7346,200.0000
   21, 2,  4,150.0000, 49.2518,149.9791
   22, 1,  4,200.0000, 39.7346,200.0000
   22, 2,  4,150.0000, 49.2351,150.0000
   23, 1,  4,200.0000, 39.7346,200.0000
   23, 2,  4,150.0000, 49.2185,149.9529
   24, 1,  4,200.0000, 39.7346,200.0000
   24, 2,  4,150.0000, 49.2020,150.0000
   25, 1,  4,200.0000, 39.7346,200.0000
   25, 2,  4,150.0000, 49.1856,150.0000
   26, 1,  4,200.0000, 39.7346,200.0000
   26, 2,  4,150.0000, 49.1693,150.0000
   27, 1,  4,200.0000, 39.7346,200.0000
   27, 2,  4,150.0000, 49.1530,150.0000
   28, 1,  4,200.0000, 39.7346,200.0000
   28, 2,  4,150.0000, 49.1369,149.9651
   29, 1,  4,200.0000, 39.7346,200.0000
   29, 2,  4,150.0000, 49.1208,150.0000
   30, 1,  4,200.0000, 39.7346,200.0000
   30, 2,  4,150.0000, 49.1049,150.0000
   31, 1,  4,200.0000, 39.7346,200.0000
   31, 2,  4,150.0000, 49.0890,150.0000
   32, 1,  4,200.0000, 39.7346,200.0000
   32, 2,  4,150.0000, 49.0732,150.0000
   33, 1,  4,200.0000, 39.7346,200.0000
   33, 2,  4,150.0000, 49.0575,150.0000
   34, 1,  4,200.0000, 39.7346,200.0000
   34, 2,  4,150.0000, 49.0419,150.0000
   35, 1,  4,200.0000, 39.7346,200.0000
   35, 2,  4,150.0000, 49.0264,150.0000
   36, 1,  4,200.0000, 39.7346,200.0000
   36, 2,  4,150.0000, 49.0110,150.0000
   37, 1,  4,200.0000, 39.7346,200.0000
   37, 2,  4,150.0000, 48.9956,150.0000
   38, 1,  4,200.0000, 39.7346,200.0000
   38, 2,  4,150.0000, 48.9803,150.0000
   39, 1,  4,200.0000, 39.7346,200.0000
   39, 2,  4,150.0000, 48.9651,150.0000
   40, 1,  4,200.0000, 39.7346,200.0000
   40, 2,  4,150.0000, 48.9500,150.0000
   41, 1,  4,200.0000, 39.7346,200.0000
   41, 2,  4,150.0000, 48.9350,150.0000
   42, 1,  4,200.0000, 39.7346,200.0000
   42, 2,  4,150.0000, 48.9201,150.0000
   43, 1,  4,200.0000, 39.7346,200.0000
   43, 2,  4,150.0000, 48.9052,150.0000
   44, 1,  4,200.0000, 39.7346,200.0000
   44, 2,  4,150.0000, 48.8904,150.0000
   45, 1,  4,200.0000, 39.7346,200.0000
   45, 2,  4,150.0000, 48.8757,150.0000
   46, 1,  4,200.0000, 39.7346,200.0000
   46, 2,  4,150.0000, 48.8611,150.0000
   47, 1,  4,200.0000, 39.7346,200.0000
   47, 2,  4,150.0000, 48.8466,150.0000
   48, 1,  4,200.0000, 39.7346,200.0000
   48, 2,  4,150.0000, 48.8321,150.0000
   49, 1,  4,200.0000, 39.7346,200.0000
   49, 2,  4,150.0000, 48.8177,150.0000
   50, 1,  4,200.0000, 39.7346,200.0000
   50, 2,  4,150.0000, 48.8034,150.0000
   51, 1,  4,200.0000, 39.7346,200.0000
   51, 2,  4,150.0000, 48.7891,150.0000
   52, 1,  4,200.0000, 39.7346,200.0000
   52, 2,  4,150.0000, 48.7750,150.0000
