id,tc,fair
0,15390.79,-2.351399999999998
1,15387.955000000002,-2.332500000000003
2,15385.134999999998,-2.313699999999997
3,15382.345,-2.295099999999998
4,15379.555,-2.2764999999999986
5,15376.795,-2.258099999999999
6,15374.05,-2.2398000000000025
7,15371.305,-2.221499999999999
8,15368.59,-2.203400000000002
9,15365.89,-2.1854000000000013
10,15363.205,-2.167499999999997
11,15360.535,-2.149700000000003
12,15357.895,-2.132100000000001
13,15355.255000000001,-2.1144999999999996
14,15352.630000000001,-2.0970000000000013
15,15350.02,-2.0795999999999992
16,15347.425,-2.0623000000000005
17,15344.845,-2.045099999999998
18,15342.295,-2.028100000000002
19,15339.744999999999,-2.011099999999999
20,15337.21,-1.9941999999999993
21,15334.69,-1.977400000000003
22,15332.185000000001,-1.9607000000000028
23,15329.695,-1.9440999999999988
24,15327.22,-1.9275999999999982
25,15324.76,-1.911200000000001
26,15322.314999999999,-1.8948999999999998
27,15319.869999999999,-1.8785999999999987
28,15317.455,-1.8624999999999972
29,15315.04,-1.8464000000000027
30,15312.654999999999,-1.8305000000000007
31,15310.27,-1.8145999999999987
32,15307.9,-1.7988
33,15305.545,-1.7830999999999975
34,15303.205,-1.7674999999999983
35,15300.880000000001,-1.7520000000000024
36,15298.57,-1.7366000000000028
37,15296.26,-1.7212000000000032
38,15293.965,-1.7058999999999997
39,15291.685000000001,-1.6906999999999996
40,15289.42,-1.6756000000000029
41,15287.17,-1.6606000000000023
42,15284.935,-1.645699999999998
43,15282.7,-1.6308000000000007
44,15280.48,-1.6159999999999997
45,15278.275000000001,-1.601300000000002
46,15276.085,-1.5867000000000004
47,15273.91,-1.5722000000000023
48,15271.735,-1.557699999999997
49,15269.575,-1.5433000000000021
50,15267.43,-1.5290000000000035
51,15265.285,-1.5146999999999977
52,15263.17,-1.5005999999999986
53,15261.055,-1.4864999999999995
54,15258.955,-1.4724999999999966
55,15256.855,-1.4585000000000008
56,15254.785,-1.4446999999999974
57,15252.715,-1.4309000000000012
58,15250.645,-1.4170999999999978
59,15248.605,-1.403500000000001
60,15246.564999999999,-1.3898999999999972
61,15244.54,-1.3763999999999967
62,15242.515,-1.3629000000000033
63,15240.52,-1.3496000000000024
64,15238.525000000001,-1.3363000000000014
65,15236.529999999999,-1.3230000000000004
66,15234.564999999999,-1.309899999999999
67,15232.585,-1.2967000000000013
68,15230.635,-1.2837000000000032
69,15228.685,-1.270699999999998
70,15226.75,-1.2578000000000031
71,15224.83,-1.2449999999999974
72,15222.91,-1.2321999999999989
73,15221.005,-1.2194999999999965
74,15219.115,-1.2068999999999974
75,15217.224999999999,-1.1942999999999984
76,15215.335,-1.1816999999999993
77,15213.475,-1.1692999999999998
78,15211.615,-1.1569000000000003
79,15209.755000000001,-1.1445000000000007
80,15207.925,-1.1323000000000008
81,15206.095000000001,-1.1201000000000008
82,15204.265,-1.1079000000000008
83,15202.45,-1.095799999999997
84,15200.65,-1.0837999999999965
85,15198.85,-1.0718000000000032
86,15197.064999999999,-1.059899999999999
87,15195.28,-1.0480000000000018
88,15193.51,-1.036200000000001
89,15191.74,-1.0244
90,15190.0,-1.0127999999999986
91,15188.244999999999,-1.001100000000001
92,15186.505000000001,-0.9894999999999996
93,15184.78,-0.9780000000000015
94,15183.055,-0.9665000000000035
95,15181.345000000001,-0.9551000000000016
96,15179.650000000001,-0.9438000000000031
97,15177.955,-0.9324999999999974
98,15176.26,-0.9211999999999989
99,15174.58,-0.9099999999999966
100,15172.915,-0.8988999999999976
101,15171.25,-0.8877999999999986
102,15169.585,-0.8766999999999996
