 lama,miu,v,inibeta,betastep,solc,cputime,ncperr
0.10,0.10,0.20,0.10,0.10,    12,  0.0156, 52.318384
0.10,0.10,0.30,0.10,0.10,    12,  0.0156, 52.318384
0.10,0.20,0.30,0.10,0.10,    12,  0.0156, 52.309087
0.10,0.10,0.40,0.10,0.10,    12,  0.0156, 52.318384
0.10,0.20,0.40,0.10,0.10,    12,  0.0156, 52.309087
0.10,0.30,0.40,0.10,0.10,    12,  0.0156, 52.309087
0.10,0.10,0.50,0.10,0.10,    11,  0.0000, 53.999829
0.10,0.20,0.50,0.10,0.10,    11,  0.0156, 53.868795
0.10,0.30,0.50,0.10,0.10,    11,  0.0000, 53.868795
0.10,0.40,0.50,0.10,0.10,    11,  0.0156, 53.868795
0.10,0.10,0.60,0.10,0.10,    11,  0.0156, 53.999829
0.10,0.20,0.60,0.10,0.10,    11,  0.0156, 53.868795
0.10,0.30,0.60,0.10,0.10,    11,  0.0156, 53.868795
0.10,0.40,0.60,0.10,0.10,    11,  0.0156, 53.868795
0.10,0.50,0.60,0.10,0.10,    11,  0.0000, 53.293326
0.10,0.10,0.70,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.20,0.70,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.30,0.70,0.10,0.10,    11,  0.0000, 91.633454
0.10,0.40,0.70,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.50,0.70,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.60,0.70,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.10,0.80,0.10,0.10,    11,  0.0312, 91.633454
0.10,0.20,0.80,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.30,0.80,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.40,0.80,0.10,0.10,    11,  0.0000, 91.633454
0.10,0.50,0.80,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.60,0.80,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.70,0.80,0.10,0.10,    11,  0.0156,271.497330
0.10,0.10,0.90,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.20,0.90,0.10,0.10,    11,  0.0000, 91.633454
0.10,0.30,0.90,0.10,0.10,    11,  0.0000, 91.633454
0.10,0.40,0.90,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.50,0.90,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.60,0.90,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.70,0.90,0.10,0.10,    11,  0.0000,271.497330
0.10,0.80,0.90,0.10,0.10,    11,  0.0156,271.497330
0.10,0.10,1.00,0.10,0.10,    11,  0.0000, 91.633454
0.10,0.20,1.00,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.30,1.00,0.10,0.10,    11,  0.0000, 91.633454
0.10,0.40,1.00,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.50,1.00,0.10,0.10,    11,  0.0312, 91.633454
0.10,0.60,1.00,0.10,0.10,    11,  0.0156, 91.633454
0.10,0.70,1.00,0.10,0.10,    11,  0.0156,271.497330
0.10,0.80,1.00,0.10,0.10,    11,  0.0156,271.497330
0.10,0.90,1.00,0.10,0.10,    11,  0.0156,271.497330
0.10,0.10,0.20,0.10,0.20,    12,  0.0156, 87.110854
0.10,0.10,0.30,0.10,0.20,    12,  0.0000, 87.110854
0.10,0.20,0.30,0.10,0.20,    12,  0.0156, 49.947740
0.10,0.10,0.40,0.10,0.20,    12,  0.0000, 87.110854
0.10,0.20,0.40,0.10,0.20,    11,  0.0156, 52.894596
0.10,0.30,0.40,0.10,0.20,    11,  0.0156, 52.894596
0.10,0.10,0.50,0.10,0.20,    12,  0.0000, 87.110854
0.10,0.20,0.50,0.10,0.20,    11,  0.0000, 52.894596
0.10,0.30,0.50,0.10,0.20,    11,  0.0000, 52.894596
0.10,0.40,0.50,0.10,0.20,    11,  0.0156, 52.462476
0.10,0.10,0.60,0.10,0.20,    12,  0.0156, 87.110854
0.10,0.20,0.60,0.10,0.20,    11,  0.0000, 52.894596
0.10,0.30,0.60,0.10,0.20,    11,  0.0312, 52.894596
0.10,0.40,0.60,0.10,0.20,    11,  0.0156, 52.462476
0.10,0.50,0.60,0.10,0.20,    11,  0.0156, 52.462476
0.10,0.10,0.70,0.10,0.20,    11,  0.0156, 95.386679
0.10,0.20,0.70,0.10,0.20,    11,  0.0156, 90.863187
0.10,0.30,0.70,0.10,0.20,    11,  0.0000, 90.863187
0.10,0.40,0.70,0.10,0.20,    11,  0.0156, 90.863187
0.10,0.50,0.70,0.10,0.20,    11,  0.0156, 90.863187
0.10,0.60,0.70,0.10,0.20,    11,  0.0000, 90.863187
0.10,0.10,0.80,0.10,0.20,    11,  0.0156, 95.386679
0.10,0.20,0.80,0.10,0.20,    11,  0.0000, 90.863187
0.10,0.30,0.80,0.10,0.20,    11,  0.0156, 90.863187
0.10,0.40,0.80,0.10,0.20,    11,  0.0312, 90.863187
