solc,ncperr
   1,     21.322678
   2,     19.814118
   3,     18.702691
   4,     17.710237
   5,     16.954899
   6,     16.247206
   7,     15.696632
   8,     14.183927
   9,     13.293485
  10,     12.487496
  11,      1.326943
  12,      1.258891
  13,      1.198483
  14,      1.135012
  15,      1.078882
  16,      1.020078
  17,      0.968259
  18,      0.914114
  19,      0.866555
  20,      0.816979
  21,      0.773564
  22,      0.728402
  23,      0.688961
  24,      0.648008
  25,      0.612333
  26,      0.575351
  27,      0.543208
  28,      0.509936
  29,      0.481078
  30,      0.451242
  31,      0.425413
  32,      0.398739
  33,      0.375685
  34,      0.351901
  35,      0.331375
  36,      0.310217
  37,      0.291982
  38,      0.273199
  39,      0.257030
  40,      0.240386
  41,      0.226075
  42,      0.211351
  43,      0.198702
  44,      0.185695
  45,      0.174530
  46,      0.163054
  47,      0.153211
  48,      0.143098
  49,      0.134429
  50,      0.125525
  51,      0.117898
  52,      0.110065
  53,      0.103359
  54,      0.096474
  55,      0.090582
  56,      0.084535
  57,      0.079361
  58,      0.074052
  59,      0.069512
  60,      0.064853
  61,      0.060871
  62,      0.056785
  63,      0.053293
  64,      0.049711
  65,      0.046651
  66,      0.043512
  67,      0.040830
  68,      0.038079
  69,      0.035730
  70,      0.033321
  71,      0.031264
  72,      0.029154
  73,      0.027353
  74,      0.025506
  75,      0.023929
  76,      0.022313
  77,      0.020932
  78,      0.019517
  79,      0.018310
  80,      0.017071
  81,      0.016014
  82,      0.014931
