method,case,dest,link,flow,fx,lt,xprob,logitprob,tail,head
dp   ,  0, 1,  1,  0.00,1000.00, 27.54,0.0000,0.0000,  1,  2
dp   ,  0, 1,  2,106.29,  51.22, 34.14,0.7086,0.0000,  1,  3
dp   ,  0, 1,  3, 43.71,  51.22, 51.22,0.2914,0.0000,  1,  4
dp   ,  0, 1,  4,250.00,  35.71, 18.63,1.0000,0.0000,  2,  3
dp   ,  0, 1,  5,  0.00,  37.23, 37.23,0.0000,0.0000,  2,  4
dp   ,  0, 1,  6,456.29,  17.08, 17.08,1.0000,0.0000,  3,  4
dp   ,  1, 1,  1,  0.00,1000.00, 34.93,0.0000,0.0000,  1,  2
dp   ,  1, 1,  2,150.00,  56.98, 41.53,1.0000,0.0000,  1,  3
dp   ,  1, 1,  3,  0.00,  66.23, 66.23,0.0000,0.0000,  1,  4
dp   ,  1, 1,  4, 80.18,  34.85, 19.40,0.3207,0.0000,  2,  3
dp   ,  1, 1,  5,169.82,  34.85, 34.85,0.6793,0.0000,  2,  4
dp   ,  1, 1,  6,330.18,  15.45, 15.45,1.0000,0.0000,  3,  4
dp   ,  2, 1,  1,  0.00,1000.00, 34.93,0.0000,0.0000,  1,  2
dp   ,  2, 1,  2,150.00,  55.48, 41.53,1.0000,0.0000,  1,  3
dp   ,  2, 1,  3,  0.00,  66.23, 66.23,0.0000,0.0000,  1,  4
dp   ,  2, 1,  4,  0.00,  28.86, 14.92,0.0000,0.0000,  2,  3
dp   ,  2, 1,  5,250.00,  26.22, 26.22,1.0000,0.0000,  2,  4
dp   ,  2, 1,  6,250.00,  13.94, 13.94,1.0000,0.0000,  3,  4
dp   ,  3, 1,  1,  0.00,  57.46, 34.93,0.0000,0.0000,  1,  2
dp   ,  3, 1,  2,150.00,  54.64, 41.53,1.0000,0.0000,  1,  3
dp   ,  3, 1,  3,  0.00,  66.23, 66.23,0.0000,0.0000,  1,  4
dp   ,  3, 1,  4,  0.00,1000.00, 12.86,0.0000,0.0000,  2,  3
dp   ,  3, 1,  5,250.00,  22.52, 22.52,1.0000,0.0000,  2,  4
dp   ,  3, 1,  6,250.00,  13.11, 13.11,1.0000,0.0000,  3,  4
dp   ,  4, 1,  1,  0.00,1000.00, 16.24,0.0000,0.0000,  1,  2
dp   ,  4, 1,  2,150.00,  38.30, 22.84,1.0000,0.0000,  1,  3
dp   ,  4, 1,  3,  0.00,  66.23, 66.23,0.0000,0.0000,  1,  4
dp   ,  4, 1,  4,250.00,  28.92, 13.47,1.0000,0.0000,  2,  3
dp   ,  4, 1,  5,  0.00,  31.46, 31.46,0.0000,0.0000,  2,  4
dp   ,  4, 1,  6,500.00,  15.45, 15.45,1.0000,0.0000,  3,  4
dp   ,  5, 1,  1,  0.00,1000.00, 16.24,0.0000,0.0000,  1,  2
dp   ,  5, 1,  2,150.00,  36.79, 22.84,1.0000,0.0000,  1,  3
dp   ,  5, 1,  3,  0.00,  66.23, 66.23,0.0000,0.0000,  1,  4
dp   ,  5, 1,  4, 32.70,  25.91, 11.97,0.1308,0.0000,  2,  3
dp   ,  5, 1,  5,217.30,  25.91, 25.91,0.8692,0.0000,  2,  4
dp   ,  5, 1,  6,282.70,  13.94, 13.94,1.0000,0.0000,  3,  4
dp   ,  6, 1,  1,  0.00,  38.77, 16.24,0.0000,0.0000,  1,  2
dp   ,  6, 1,  2,150.00,  35.95, 22.84,1.0000,0.0000,  1,  3
dp   ,  6, 1,  3,  0.00,  66.23, 66.23,0.0000,0.0000,  1,  4
dp   ,  6, 1,  4,  0.00,  24.19, 11.08,0.0000,0.0000,  2,  3
dp   ,  6, 1,  5,250.00,  22.52, 22.52,1.0000,0.0000,  2,  4
dp   ,  6, 1,  6,250.00,  13.11, 13.11,1.0000,0.0000,  3,  4
dp   ,  7, 1,  1,  0.00,1000.00, 31.39,0.0000,0.0000,  1,  2
dp   ,  7, 1,  2,  5.99,  51.79, 37.99,0.0400,0.0000,  1,  3
dp   ,  7, 1,  3,144.01,  51.79, 51.79,0.9600,0.0000,  1,  4
dp   ,  7, 1,  4,250.00,  29.66, 15.87,1.0000,0.0000,  2,  3
dp   ,  7, 1,  5,  0.00,  32.21, 32.21,0.0000,0.0000,  2,  4
dp   ,  7, 1,  6,355.99,  13.79, 13.79,1.0000,0.0000,  3,  4
dp   ,  8, 1,  1,  0.00,1000.00, 31.46,0.0000,0.0000,  1,  2
dp   ,  8, 1,  2, 27.55,  51.13, 38.06,0.1836,0.0000,  1,  3
dp   ,  8, 1,  3,122.45,  51.13, 51.13,0.8164,0.0000,  1,  4
dp   ,  8, 1,  4,  0.00,  26.55, 13.48,0.0000,0.0000,  2,  3
dp   ,  8, 1,  5,250.00,  26.22, 26.22,1.0000,0.0000,  2,  4
dp   ,  8, 1,  6,127.55,  13.07, 13.07,1.0000,0.0000,  3,  4
dp   ,  9, 1,  1,  0.00,  54.08, 31.56,0.0000,0.0000,  1,  2
dp   ,  9, 1,  2, 43.77,  50.76, 38.16,0.2918,0.0000,  1,  3
dp   ,  9, 1,  3,106.23,  50.76, 50.76,0.7082,0.0000,  1,  4
dp   ,  9, 1,  4,  0.00,1000.00, 12.14,0.0000,0.0000,  2,  3
dp   ,  9, 1,  5,250.00,  22.52, 22.52,1.0000,0.0000,  2,  4
dp   ,  9, 1,  6,143.77,  12.60, 12.60,1.0000,0.0000,  3,  4
dp   , 10, 1,  1,  0.00,1000.00, 16.24,0.0000,0.0000,  1,  2
dp   , 10, 1,  2,150.00,  38.30, 22.84,1.0000,0.0000,  1,  3
dp   , 10, 1,  3,  0.00,  49.91, 49.91,0.0000,0.0000,  1,  4
dp   , 10, 1,  4,250.00,  28.92, 13.47,1.0000,0.0000,  2,  3
dp   , 10, 1,  5,  0.00,  31.46, 31.46,0.0000,0.0000,  2,  4
dp   , 10, 1,  6,500.00,  15.45, 15.45,1.0000,0.0000,  3,  4
dp   , 11, 1,  1,  0.00,1000.00, 16.24,0.0000,0.0000,  1,  2
dp   , 11, 1,  2,150.00,  36.79, 22.84,1.0000,0.0000,  1,  3
dp   , 11, 1,  3,  0.00,  49.91, 49.91,0.0000,0.0000,  1,  4
dp   , 11, 1,  4, 32.70,  25.91, 11.97,0.1308,0.0000,  2,  3
dp   , 11, 1,  5,217.30,  25.91, 25.91,0.8692,0.0000,  2,  4
dp   , 11, 1,  6,282.70,  13.94, 13.94,1.0000,0.0000,  3,  4
dp   , 12, 1,  1,  0.00,  38.77, 16.24,0.0000,0.0000,  1,  2
dp   , 12, 1,  2,150.00,  35.95, 22.84,1.0000,0.0000,  1,  3
dp   , 12, 1,  3,  0.00,  49.91, 49.91,0.0000,0.0000,  1,  4
dp   , 12, 1,  4,  0.00,  24.19, 11.08,0.0000,0.0000,  2,  3
dp   , 12, 1,  5,250.00,  22.52, 22.52,1.0000,0.0000,  2,  4
dp   , 12, 1,  6,250.00,  13.11, 13.11,1.0000,0.0000,  3,  4
dp   , 13, 1,  1,  0.00,1000.00, 31.39,0.0000,0.0000,  1,  2
dp   , 13, 1,  2,  0.00,  51.74, 37.99,0.0000,0.0000,  1,  3
dp   , 13, 1,  3,150.00,  44.46, 44.46,1.0000,0.0000,  1,  4
