method,case,dest,node,fout,lout,label
dp   ,    0, 1,  1,  1,  3, 39.73
dp   ,    0, 1,  2,  4,  5, 47.27
dp   ,    0, 1,  3,  6,  6, 15.11
dp   ,    1, 1,  1,  1,  3, 45.01
dp   ,    1, 1,  2,  4,  5, 36.34
dp   ,    1, 1,  3,  6,  6, 19.06
dp   ,    2, 1,  1,  1,  3, 40.92
dp   ,    2, 1,  2,  4,  5, 36.34
dp   ,    2, 1,  3,  6,  6, 14.96
dp   ,    3, 1,  1,  1,  3, 39.28
dp   ,    3, 1,  2,  4,  5, 36.34
dp   ,    3, 1,  3,  6,  6, 13.32
dp   ,    4, 1,  1,  1,  3, 44.50
dp   ,    4, 1,  2,  4,  5, 26.65
dp   ,    4, 1,  3,  6,  6, 18.54
dp   ,    5, 1,  1,  1,  3, 41.36
dp   ,    5, 1,  2,  4,  5, 26.65
dp   ,    5, 1,  3,  6,  6, 15.40
dp   ,    6, 1,  1,  1,  3, 39.83
dp   ,    6, 1,  2,  4,  5, 26.65
dp   ,    6, 1,  3,  6,  6, 13.87
dp   ,    7, 1,  1,  1,  3, 44.22
dp   ,    7, 1,  2,  4,  5, 24.56
dp   ,    8, 1,  1,  1,  3, 41.68
dp   ,    8, 1,  2,  4,  5, 23.63
dp   ,    8, 1,  3,  6,  6, 15.72
dp   ,    9, 1,  1,  1,  3, 40.27
dp   ,    9, 1,  2,  4,  5, 23.63
dp   ,    9, 1,  3,  6,  6, 14.31
dp   ,   10, 1,  1,  1,  3, 42.34
dp   ,   10, 1,  2,  4,  5, 22.68
dp   ,   11, 1,  1,  1,  3, 41.93
dp   ,   11, 1,  2,  4,  5, 22.28
dp   ,   11, 1,  3,  6,  6, 15.97
dp   ,   12, 1,  1,  1,  3, 40.62
dp   ,   12, 1,  2,  4,  5, 22.15
dp   ,   12, 1,  3,  6,  6, 14.66
dp   ,   13, 1,  1,  1,  3, 41.28
dp   ,   13, 1,  2,  4,  5, 21.62
dp   ,   14, 1,  1,  1,  3, 41.28
dp   ,   14, 1,  2,  4,  5, 21.62
dp   ,   15, 1,  1,  1,  3, 40.91
dp   ,   15, 1,  2,  4,  5, 21.28
dp   ,   15, 1,  3,  6,  6, 14.95
dp   ,   16, 1,  1,  1,  3, 37.91
dp   ,   16, 1,  2,  4,  5, 36.34
dp   ,   16, 1,  3,  6,  6, 19.06
dp   ,   17, 1,  1,  1,  3, 33.82
dp   ,   17, 1,  2,  4,  5, 36.34
dp   ,   17, 1,  3,  6,  6, 14.96
dp   ,   18, 1,  1,  1,  3, 32.18
dp   ,   18, 1,  2,  4,  5, 36.34
dp   ,   18, 1,  3,  6,  6, 13.32
dp   ,   19, 1,  1,  1,  3, 37.40
dp   ,   19, 1,  2,  4,  5, 26.65
dp   ,   19, 1,  3,  6,  6, 18.54
dp   ,   20, 1,  1,  1,  3, 34.26
dp   ,   20, 1,  2,  4,  5, 26.65
dp   ,   20, 1,  3,  6,  6, 15.40
dp   ,   21, 1,  1,  1,  3, 32.73
dp   ,   21, 1,  2,  4,  5, 26.65
dp   ,   21, 1,  3,  6,  6, 13.87
dp   ,   22, 1,  1,  1,  3, 37.12
dp   ,   22, 1,  2,  4,  5, 24.56
dp   ,   23, 1,  1,  1,  3, 34.58
dp   ,   23, 1,  2,  4,  5, 23.63
dp   ,   23, 1,  3,  6,  6, 15.72
dp   ,   24, 1,  1,  1,  3, 33.17
dp   ,   24, 1,  2,  4,  5, 23.63
dp   ,   24, 1,  3,  6,  6, 14.31
dp   ,   25, 1,  1,  1,  3, 35.24
dp   ,   25, 1,  2,  4,  5, 22.68
dp   ,   26, 1,  1,  1,  3, 34.83
dp   ,   26, 1,  2,  4,  5, 22.28
dp   ,   26, 1,  3,  6,  6, 15.97
dp   ,   27, 1,  1,  1,  3, 33.52
dp   ,   27, 1,  2,  4,  5, 22.15
dp   ,   27, 1,  3,  6,  6, 14.66
