 solc,ncperr,disterr
   0,      5.27218435,      0.24582854
   1,      0.72188036,      0.02319735
   2,      0.28811564,      0.00930943
   3,      0.17355127,      0.00560012
   4,      0.12195276,      0.00392753
   5,      0.09299774,      0.00298937
   6,      0.07461918,      0.00239443
   7,      0.06199015,      0.00198602
   8,      0.05281610,      0.00168964
   9,      0.04587194,      0.00146553
  10,      0.04044633,      0.00129059
  11,      0.03609900,      0.00115054
  12,      0.03254346,      0.00103610
  13,      0.02958555,      0.00094098
  14,      0.02708921,      0.00086076
  15,      0.02495639,      0.00079228
  16,      0.02311470,      0.00073318
  17,      0.02150958,      0.00068359
  18,      0.02009916,      0.00064012
  19,      0.01885080,      0.00060157
  20,      0.01773870,      0.00056716
  21,      0.01674218,      0.00053628
  22,      0.01584453,      0.00050841
  23,      0.01503205,      0.00048314
  24,      0.01429344,      0.00046014
  25,      0.01361930,      0.00043912
  26,      0.01300173,      0.00041983
  27,      0.01243407,      0.00040207
  28,      0.01191063,      0.00038568
  29,      0.01142657,      0.00037050
  30,      0.01097770,      0.00035641
  31,      0.01056041,      0.00034329
  32,      0.01017157,      0.00033106
  33,      0.00980842,      0.00031962
  34,      0.00946857,      0.00030890
  35,      0.00914990,      0.00029884
  36,      0.00885052,      0.00028938
  37,      0.00856879,      0.00028046
  38,      0.00830323,      0.00027205
  39,      0.00805251,      0.00026411
  40,      0.00781546,      0.00025659
  41,      0.00759102,      0.00024946
  42,      0.00737822,      0.00024270
  43,      0.00717621,      0.00023627
  44,      0.00698421,      0.00023016
  45,      0.00680152,      0.00022434
  46,      0.00662748,      0.00021879
  47,      0.00646151,      0.00021349
  48,      0.00630308,      0.00020843
  49,      0.00615169,      0.00020359
  50,      0.00600691,      0.00019896
  51,      0.00586831,      0.00019452
  52,      0.00573552,      0.00019027
  53,      0.00560819,      0.00018618
  54,      0.00548600,      0.00018226
  55,      0.00536865,      0.00017850
  56,      0.00525587,      0.00017487
  57,      0.00514740,      0.00017139
  58,      0.00504300,      0.00016803
  59,      0.00494246,      0.00016479
  60,      0.00484558,      0.00016167
  61,      0.00475215,      0.00015866
  62,      0.00466200,      0.00015575
  63,      0.00457498,      0.00015295
  64,      0.00449091,      0.00015023
  65,      0.00440967,      0.00014761
  66,      0.00433110,      0.00014507
  67,      0.00425509,      0.00014261
  68,      0.00418152,      0.00014023
  69,      0.00411026,      0.00013792
  70,      0.00404123,      0.00013569
